global_step,task_reward_avg,phase,local_step
1,0.2882,initial,1
2,0.20795,initial,2
3,0.23463,initial,3
4,0.34503,initial,4
5,0.28021,initial,5
6,0.2032,initial,6
7,0.25887,initial,7
8,0.27289,initial,8
9,0.20057,initial,9
10,0.27973,initial,10
11,0.23775,initial,11
12,0.30637,initial,12
13,0.2459,initial,13
14,0.29057,initial,14
15,0.28014,initial,15
16,0.18671,initial,16
17,0.29528,initial,17
18,0.28904,initial,18
19,0.27173,initial,19
20,0.23272,initial,20
21,0.31415,initial,21
22,0.19669,initial,22
23,0.2035,initial,23
24,0.26298,initial,24
25,0.26766,initial,25
26,0.25518,initial,26
27,0.2104,initial,27
28,0.25839,initial,28
29,0.18219,initial,29
30,0.28454,initial,30
31,0.23595,initial,31
32,0.2468,initial,32
33,0.31899,initial,33
34,0.40682,initial,34
35,0.35927,initial,35
36,0.18641,initial,36
37,0.46367,initial,37
38,0.28099,initial,38
39,0.21869,initial,39
40,0.20981,initial,40
41,0.3601,initial,41
42,0.19583,initial,42
43,0.25816,initial,43
44,0.36112,initial,44
45,0.26629,initial,45
46,0.25072,initial,46
47,0.29317,initial,47
48,0.32039,initial,48
49,0.27316,initial,49
50,0.3958,continuation,1
51,0.20069,continuation,2
52,0.20911,continuation,3
53,0.34505,continuation,4
54,0.24395,continuation,5
55,0.3643,continuation,6
56,0.19671,continuation,7
57,0.35903,continuation,8
58,0.18576,continuation,9
59,0.285,continuation,10
60,0.23799,continuation,11
61,0.212,continuation,12
62,0.29705,continuation,13
63,0.28593,continuation,14
64,0.25234,continuation,15
65,0.25228,continuation,16
66,0.37974,continuation,17
67,0.29732,continuation,18
68,0.28101,continuation,19
69,0.1989,continuation,20
70,0.30133,continuation,21
71,0.2853,continuation,22
72,0.24701,continuation,23
73,0.21662,continuation,24
74,0.23389,continuation,25
