step,ppo_actor/update/new_logp/avg,ppo_actor/no_eos_ratios/avg,ppo_actor/update/compute_logp/kl_div_direct/avg,timeperf/train_step,ppo_actor/update/old_logp/avg,ppo_actor/prompt_len/avg,ppo_actor/update/compute_logp/kl_div_dual/avg,ppo_actor/update/compute_logp/kl_div_taylor/avg,ppo_actor/advantages/avg,ppo_actor/seq_len/avg,ppo_actor/task_reward/avg,ppo_actor/update/compute_logp/prox_logp_gt/avg,ppo_actor/correct_seq_len/avg,ppo_actor/update/actor_loss/avg,ppo_actor/update/dual_clip_ratio/avg,ppo_actor/final_reward/avg,ppo_actor/update/approx_kl/avg,ppo_actor/update/entropy/avg,ppo_actor/update/vocab_max_logits/avg,ppo_actor/incorrect_seq_len/avg,ppo_actor/update/behave_approx_kl/avg,ppo_actor/update/vocab_min_logits/avg,ppo_actor/update/importance_weight/avg,ppo_actor/kl_rewards/avg,ppo_actor/update/behave_imp_weight/avg,ppo_actor/update/clip_ratio/avg,rollout/reward,eval-rollout/reward
1,-0.076704,0.125,0.0016004,5.121,-0.075103,214.44,0.0012092,0.0013912,5.2545e-09,1213.5,0.23438,-0.076704,1084.1,7.6833e-05,0.0,1.8644e-12,0.0,0.085725,43.951,1253.1,-0.0016004,-24.318,1.0,0.0,0.99961,0.0,0.31771,0.033333
2,-0.075316,0.125,0.0014351,3.2485,-0.073881,191.0,0.0012421,0.0012655,-5.6469e-09,1204.3,0.47656,-0.075316,1174.0,0.0002249,0.0,-5.055e-12,0.0,0.083991,44.426,1231.9,-0.0014351,-24.662,1.0,0.0,0.99981,0.0,0.39844,
3,-0.072939,0.125,0.0015905,3.1164,-0.071348,186.25,0.0012395,0.0013173,5.5978e-08,1157.3,0.24219,-0.072939,971.35,-0.00016541,0.0,1.9181e-12,0.0,0.081708,44.269,1216.8,-0.0015905,-24.64,1.0,0.0,0.99965,0.0,1.0,
4,-0.078493,0.125,0.0012387,3.1466,-0.077254,178.56,0.0012975,0.0013333,-1.115e-08,1162.1,0.39844,-0.078493,1074.0,0.00013008,0.0,6.6281e-12,0.0,0.087996,43.998,1220.5,-0.0012387,-24.848,1.0,0.0,1.0001,0.0,0.40152,
5,-0.070092,0.125,0.0012387,3.2358,-0.06887,201.06,0.0011112,0.0011476,-2.4468e-09,1224.2,0.38281,-0.070093,1203.6,3.5812e-05,0.0,8.1924e-12,0.0,0.078394,44.577,1237.0,-0.0012387,-24.57,0.99999,0.0,0.99987,0.0,0.33858,
6,-0.094406,0.125,0.0016193,3.3502,-0.092786,213.19,0.0013893,0.0014181,2.3685e-09,1227.7,0.34375,-0.094406,1193.2,-0.00027289,0.0,-2.2951e-12,0.0,0.10522,43.063,1245.8,-0.0016193,-24.412,1.0,0.0,0.99977,0.0,0.32836,
7,-0.064087,0.125,0.0011044,3.1656,-0.062982,182.38,0.0010529,0.0010669,-3.0378e-09,1197.8,0.29688,-0.064087,1163.6,6.2666e-05,0.0,1.8344e-12,0.0,0.072464,44.809,1212.2,-0.0011044,-24.671,1.0,0.0,0.99995,0.0,0.36567,
8,-0.083836,0.125,0.0017871,3.2676,-0.082063,236.38,0.001421,0.0014843,-5.07e-09,1223.9,0.35156,-0.083825,1096.2,-1.5342e-05,0.0,-1.8862e-12,0.0,0.093157,43.611,1293.1,-0.0017871,-24.135,0.99999,0.0,0.99963,0.0,0.11111,
9,-0.083096,0.125,0.0015668,3.2698,-0.08153,237.62,0.0013569,0.0014286,-3.7583e-08,1230.4,0.17188,-0.083096,1076.0,0.00010285,0.0,1.8761e-12,0.0,0.093902,43.331,1262.5,-0.0015668,-24.292,1.0,0.0,0.99979,0.0,0.17526,
10,-0.080363,0.125,0.0013351,3.1723,-0.079028,182.06,0.0012319,0.001251,3.0695e-09,1186.0,0.10938,-0.080363,993.0,-0.00011527,0.0,-6.9572e-12,0.0,0.09132,44.358,1209.8,-0.0013351,-24.788,1.0,0.0,0.9999,0.0,0.14286,
