step,ppo_actor/update/new_logp/avg,ppo_actor/no_eos_ratios/avg,ppo_actor/update/compute_logp/kl_div_direct/avg,timeperf/train_step,ppo_actor/update/old_logp/avg,ppo_actor/prompt_len/avg,ppo_actor/update/compute_logp/kl_div_dual/avg,ppo_actor/update/compute_logp/kl_div_taylor/avg,ppo_actor/advantages/avg,ppo_actor/seq_len/avg,ppo_actor/task_reward/avg,ppo_actor/update/compute_logp/prox_logp_gt/avg,ppo_actor/correct_seq_len/avg,ppo_actor/update/actor_loss/avg,ppo_actor/update/dual_clip_ratio/avg,ppo_actor/final_reward/avg,ppo_actor/update/approx_kl/avg,ppo_actor/update/entropy/avg,ppo_actor/update/vocab_max_logits/avg,ppo_actor/incorrect_seq_len/avg,ppo_actor/update/behave_approx_kl/avg,ppo_actor/update/vocab_min_logits/avg,ppo_actor/update/importance_weight/avg,ppo_actor/kl_rewards/avg,ppo_actor/update/behave_imp_weight/avg,ppo_actor/update/clip_ratio/avg,rollout/reward,eval-rollout/reward
1,-0.074288,0.125,0.0011554,4.7739,-0.073133,214.44,0.0011906,0.0012538,-1.4269e-08,1211.2,0.23438,-0.074288,1075.5,0.00016755,0.0,2.803e-12,0.0,0.084114,43.995,1252.8,-0.0011554,-24.307,1.0,0.0,1.0,0.0,0.30469,0.016667
2,-0.075449,0.125,0.0014945,3.2573,-0.073954,191.0,0.001265,0.0013025,-3.0386e-09,1210.8,0.42969,-0.075449,1186.9,-3.4319e-05,0.0,-9.1321e-12,0.0,0.083793,44.42,1228.8,-0.0014945,-24.662,1.0,0.0,0.99977,0.0,0.4375,
3,-0.071268,0.125,0.0012592,3.0798,-0.070008,186.25,0.0011321,0.0011825,1.2224e-10,1161.5,0.25,-0.071268,1015.1,-5.3919e-05,0.0,4.7749e-13,0.0,0.080335,44.31,1210.3,-0.0012592,-24.694,1.0,0.0,0.99987,0.0,,
4,-0.078081,0.125,0.001305,3.1479,-0.076777,178.56,0.0013021,0.0013493,7.9429e-09,1169.1,0.4375,-0.078081,1095.1,0.00025984,0.0,9.4021e-13,0.0,0.087512,44.012,1226.7,-0.001305,-24.84,1.0,0.0,1.0,0.0,0.41667,
5,-0.069561,0.125,0.00098514,3.238,-0.068576,201.06,0.0010522,0.0010736,-5.828e-09,1225.1,0.39844,-0.069561,1197.3,-0.00024145,0.0,-1.3642e-12,0.0,0.079288,44.588,1243.5,-0.00098514,-24.524,1.0,0.0,1.0001,0.0,0.31783,
6,-0.092204,0.125,0.0014811,3.2328,-0.090723,213.19,0.0013509,0.0013802,-3.2421e-08,1222.5,0.3125,-0.092204,1156.7,3.875e-05,0.0,1.8454e-12,0.0,0.10412,43.104,1252.4,-0.0014811,-24.376,1.0,0.0,0.99987,0.0,0.38346,
7,-0.065543,0.125,0.0012573,3.1644,-0.064286,182.38,0.00112,0.0011366,1.7028e-08,1197.5,0.35938,-0.065543,1168.0,0.00019615,0.0,1.8349e-12,0.0,0.073691,44.705,1214.0,-0.0012573,-24.696,1.0,0.0,0.99986,0.0,0.36842,
8,-0.083793,0.125,0.0013278,3.2658,-0.082465,236.38,0.0013379,0.0013663,-1.3704e-08,1221.5,0.35938,-0.083793,1100.8,-1.1938e-05,0.0,-2.8361e-12,0.0,0.094557,43.541,1289.3,-0.0013278,-24.131,1.0,0.0,1.0,0.0,0.11864,
9,-0.083603,0.125,0.0015246,3.2117,-0.082078,237.62,0.0013625,0.001411,-4.8395e-10,1222.9,0.17188,-0.083603,1044.0,0.00019145,0.0,-1.8904e-12,0.0,0.094009,43.288,1260.1,-0.0015246,-24.231,1.0,0.0,0.99984,0.0,0.17483,
10,-0.082906,0.125,0.0013243,3.1694,-0.081582,182.06,0.0013424,0.0014145,-5.6299e-09,1193.5,0.11719,-0.082906,1072.2,-6.6832e-06,0.0,9.2083e-13,0.0,0.091555,44.417,1209.6,-0.0013243,-24.822,1.0,0.0,1.0,0.0,0.16514,
