step,sft/loss/avg,sft/ppl/avg,timeperf/train_step,sft/vocab_min_logits/avg,sft/vocab_max_logits/avg
1,0.3394,1.545,2.237,-23.781,42.991
2,0.41623,1.5713,0.2007,-23.244,43.143
3,0.404,1.7591,0.15886,-22.502,41.873
4,0.40726,1.7285,0.19622,-22.713,42.379
5,0.39929,1.5584,0.14356,-22.271,42.698
6,0.38344,1.563,0.16967,-23.167,42.935
7,0.41266,1.7038,0.1479,-22.769,42.326
8,0.42888,1.624,0.14495,-22.076,41.967
9,0.46341,1.656,0.14316,-22.692,41.896
10,0.40764,1.5626,0.13477,-22.353,42.377
11,0.41609,1.5942,0.13418,-22.077,41.961
12,0.37675,1.5555,0.17507,-22.97,42.767
13,0.42671,1.6868,0.13078,-22.706,42.773
14,0.45227,1.9868,0.13377,-22.849,42.207
15,0.39957,1.7015,0.13562,-23.197,42.849
16,0.44907,1.6536,0.13379,-22.259,42.06
17,0.41877,1.7529,0.12999,-22.321,42.645
18,0.29689,1.4255,0.1372,-23.609,43.977
19,0.34243,1.5052,0.14758,-22.945,43.102
20,0.35759,1.5207,0.13561,-22.857,43.025
21,0.34161,1.5147,0.14302,-22.649,42.682
22,0.35405,1.6519,0.1433,-22.698,43.077
23,0.33757,1.5264,0.13395,-22.802,43.296
24,0.36662,1.5837,0.13961,-22.803,42.879
25,0.35848,1.4977,0.14841,-22.457,42.951
26,0.35029,1.4872,0.13404,-22.722,42.806
27,0.3776,1.5379,0.13874,-22.787,42.414
28,0.35157,1.5123,0.14365,-23.218,43.774
29,0.31297,1.4657,0.14035,-22.462,43.113
30,0.33359,1.5406,0.14014,-21.918,42.64
31,0.29665,1.4235,0.13943,-23.318,43.507
32,0.29071,1.4286,0.13354,-22.861,43.577
33,0.22234,1.3177,0.13508,-23.41,44.199
34,0.2288,1.3097,0.14023,-22.895,42.944
35,0.22825,1.3179,0.14761,-23.401,43.278
36,0.24824,1.3034,0.21896,-23.418,44.306
37,0.23464,1.2969,0.13734,-23.189,43.579
38,0.25279,1.3763,0.1351,-23.741,43.447
39,0.24196,1.3444,0.13428,-22.751,43.297
40,0.25841,1.3299,0.13943,-23.269,43.56
41,0.2566,1.3482,0.13494,-23.049,44.053
42,0.21817,1.2579,0.13496,-22.787,43.619
43,0.24441,1.3629,0.14037,-23.681,43.752
44,0.21019,1.2441,0.13084,-22.54,43.697
45,0.22401,1.267,0.15041,-23.476,44.323
46,0.2045,1.2626,0.14289,-23.564,44.11
47,0.17612,1.2039,0.14776,-23.521,44.399
48,0.17822,1.2035,0.14161,-23.183,44.026
49,0.2039,1.2378,0.13561,-23.444,43.239
50,0.20987,1.2522,0.13524,-22.756,42.978
51,0.15943,1.1924,0.1427,-23.565,43.608
52,0.18145,1.2399,0.14416,-24.181,44.073
53,0.17942,1.1929,0.14061,-23.16,43.559
54,0.14313,1.1506,0.14103,-23.507,44.19
55,0.15975,1.1667,0.13949,-23.279,43.864
56,0.16569,1.1682,0.14089,-22.931,43.331
57,0.13358,1.1478,0.13995,-23.605,43.982
58,0.12078,1.1392,0.13017,-23.317,44.007
59,0.16409,1.1952,0.13776,-23.231,44.034
60,0.1612,1.1689,0.13985,-23.139,43.502
61,0.18432,1.1907,0.14325,-23.311,42.746
62,0.15835,1.1701,0.13577,-23.032,43.499
63,0.15791,1.159,0.14396,-22.878,43.261
64,0.14023,1.1507,0.14107,-22.892,43.317
65,0.13436,1.1376,0.1274,-22.718,43.015
66,0.13156,1.1342,0.13894,-22.751,43.187
67,0.18125,1.1817,0.14253,-22.626,42.048
68,0.16883,1.1714,0.13331,-22.816,42.843
69,0.16372,1.1749,0.13882,-22.784,43.192
70,0.1541,1.1656,0.13535,-23.0,42.808
71,0.15175,1.1655,0.13522,-23.022,42.397
72,0.16642,1.1741,0.14299,-22.712,42.932
73,0.14793,1.1555,0.14589,-23.15,43.371
74,0.16066,1.1693,0.30128,-22.3,42.445
75,0.1457,1.1523,0.14283,-23.17,43.81
76,0.17322,1.1831,0.14342,-22.095,41.828
77,0.14433,1.1517,0.13148,-22.454,42.27
78,0.14071,1.1427,0.13455,-22.965,42.68
79,0.16353,1.1661,0.14529,-22.563,42.447
80,0.17189,1.1849,0.14676,-22.66,42.801
81,0.1299,1.1364,0.13107,-23.191,43.394
82,0.12687,1.1424,0.13079,-22.866,43.346
83,0.14486,1.1711,0.13126,-22.137,41.697
84,0.17735,1.1871,0.12809,-22.711,41.88
85,0.14801,1.1655,0.13488,-22.595,42.841
86,0.13637,1.1339,0.14195,-23.779,44.335
87,0.14659,1.1499,0.14498,-22.42,42.447
88,0.15979,1.1686,0.13159,-22.551,42.814
89,0.12929,1.1294,0.14336,-23.21,43.545
90,0.1589,1.1618,0.14075,-23.175,42.619
91,0.17112,1.1732,0.13895,-22.809,42.802
92,0.1573,1.16,0.14231,-23.364,42.804
93,0.15115,1.1643,0.14673,-23.82,43.398
94,0.13283,1.1406,0.14046,-22.732,43.226
95,0.1262,1.1387,0.12988,-22.684,43.435
96,0.13583,1.1421,0.13942,-23.079,43.63
97,0.12515,1.1323,0.13561,-22.856,42.165
98,0.14307,1.1451,0.1408,-23.41,43.713
99,0.14819,1.1515,0.13134,-22.561,42.489
100,0.14457,1.1467,0.13979,-23.339,43.652
101,0.14879,1.1525,0.13735,-23.017,42.932
102,0.17241,1.1688,0.14939,-22.849,42.783
103,0.16103,1.1577,0.13951,-22.825,42.369
104,0.13972,1.1419,0.14019,-23.284,42.959
105,0.14112,1.138,0.12933,-23.208,42.717
106,0.15516,1.1489,0.14083,-23.001,42.818
107,0.15196,1.155,0.14184,-23.717,43.353
108,0.13358,1.1301,0.14602,-23.907,43.677
109,0.16925,1.1716,0.1437,-22.954,42.648
110,0.14825,1.1588,0.22621,-23.35,43.565
111,0.12774,1.1314,0.13629,-23.625,43.576
112,0.1309,1.1325,0.12965,-23.23,42.567
113,0.16677,1.172,0.14565,-23.385,42.877
114,0.16006,1.1508,0.13645,-22.408,41.171
115,0.11391,1.1152,0.13227,-23.324,43.17
116,0.11987,1.1281,0.12888,-23.016,42.742
117,0.14107,1.1402,0.14604,-23.468,43.388
