step,sft/loss/avg,sft/ppl/avg,timeperf/train_step,sft/vocab_min_logits/avg,sft/vocab_max_logits/avg
1,0.36154,1.5712,2.2141,-23.622,43.255
2,0.40753,1.754,0.52646,-22.517,42.094
3,0.38859,1.493,0.20974,-23.147,43.262
4,0.37945,1.505,0.14847,-23.485,43.254
5,0.42249,1.686,0.14282,-23.198,42.532
6,0.32892,1.4221,0.1449,-23.335,43.624
7,0.4094,1.5149,0.14606,-23.278,43.297
8,0.35338,1.4731,0.25871,-23.73,43.484
9,0.3678,1.5213,0.14259,-22.972,42.363
10,0.31429,1.4565,0.14294,-23.764,43.592
11,0.39477,1.6775,0.1348,-22.466,42.192
12,0.36012,1.5255,0.13906,-23.149,43.035
13,0.35605,1.4872,0.1461,-23.68,42.967
14,0.37377,1.5301,0.14977,-23.318,43.38
15,0.39054,1.5569,0.13452,-23.568,43.359
16,0.35561,1.5123,0.13949,-23.489,42.677
17,0.36807,1.5693,0.13396,-22.915,42.937
18,0.37486,1.5184,0.1472,-22.954,43.101
19,0.37072,1.5396,0.13463,-22.977,42.45
20,0.35973,1.648,0.14686,-23.394,42.822
21,0.39775,1.5287,0.1385,-23.129,42.833
22,0.36116,1.462,0.1482,-23.342,42.818
23,0.35405,1.5002,0.13359,-23.077,42.755
24,0.2958,1.3902,0.21743,-23.93,43.735
25,0.32829,1.4398,0.14906,-23.009,43.347
26,0.31948,1.4058,0.14705,-23.66,43.946
27,0.33574,1.4455,0.14732,-22.968,42.842
28,0.27507,1.3931,0.13844,-23.604,44.014
29,0.28079,1.3335,0.21621,-23.59,43.761
30,0.32511,1.4156,0.14736,-22.252,42.593
31,0.27902,1.3308,0.13876,-23.853,43.633
32,0.24839,1.3117,0.14742,-23.481,43.162
33,0.23102,1.2657,0.14379,-23.659,44.144
34,0.24805,1.3026,0.14242,-23.605,43.841
35,0.26357,1.373,0.14083,-23.21,43.195
36,0.24934,1.2876,0.14503,-23.421,43.842
37,0.23228,1.2979,0.13887,-23.568,43.944
38,0.18585,1.2163,0.14532,-24.199,44.526
39,0.22799,1.293,0.13854,-24.043,43.811
40,0.2234,1.2503,0.14883,-23.837,43.853
41,0.18768,1.2318,0.14372,-23.854,44.614
42,0.21269,1.2513,0.13482,-23.894,44.228
43,0.23741,1.2861,0.14381,-23.629,43.698
44,0.19688,1.23,0.14633,-24.317,44.303
45,0.16621,1.1799,0.14238,-24.17,44.805
46,0.18487,1.2101,0.14637,-23.772,44.13
47,0.14987,1.1766,0.142,-24.109,44.667
48,0.14925,1.1779,0.14648,-24.201,44.383
49,0.1978,1.2742,0.12871,-23.472,43.812
50,0.16595,1.1966,0.13832,-24.338,44.562
51,0.13581,1.1526,0.14695,-24.058,44.561
52,0.16676,1.1781,0.15552,-23.876,44.332
53,0.18325,1.204,0.14308,-23.332,43.529
54,0.17882,1.2013,0.14041,-23.596,43.676
55,0.18366,1.2113,0.14627,-23.247,43.593
56,0.14374,1.1553,0.15352,-24.289,44.293
57,0.15754,1.1636,0.14427,-24.385,44.467
58,0.15207,1.162,0.21822,-24.117,44.447
59,0.14191,1.1449,0.14036,-23.691,44.335
60,0.14234,1.1459,0.14369,-23.616,43.72
61,0.18832,1.2096,0.21597,-23.525,43.777
62,0.14264,1.1514,0.14151,-23.385,43.205
63,0.161,1.1753,0.1403,-23.179,43.676
64,0.1413,1.1489,0.13119,-23.667,43.601
65,0.15105,1.1531,0.13879,-23.03,43.76
66,0.17438,1.1764,0.14899,-23.337,43.738
67,0.14267,1.1437,0.14835,-23.709,43.807
68,0.1491,1.1613,0.15049,-23.724,44.38
69,0.14418,1.152,0.14432,-23.945,44.119
70,0.1676,1.176,0.14692,-23.588,42.722
71,0.15787,1.1654,0.15787,-23.625,43.762
72,0.14925,1.1638,0.15226,-23.955,43.882
73,0.14195,1.1531,0.14307,-23.26,43.282
74,0.16423,1.1731,0.14799,-23.625,43.605
75,0.1526,1.1772,0.141,-24.126,43.555
76,0.14363,1.1491,0.14209,-23.693,43.203
77,0.12139,1.1191,0.13399,-23.157,43.173
78,0.16753,1.1687,0.14758,-23.559,42.472
79,0.14852,1.1671,0.14964,-23.617,43.66
80,0.11973,1.1306,0.13654,-23.743,43.539
81,0.14385,1.1551,0.14033,-23.911,43.474
82,0.14427,1.151,0.15,-23.506,43.074
83,0.15802,1.1716,0.13622,-23.115,42.429
84,0.12284,1.1316,0.13741,-23.613,44.109
85,0.15945,1.1742,0.13618,-23.096,43.389
86,0.1541,1.1652,0.14459,-23.54,43.606
87,0.14781,1.1573,0.13963,-23.835,43.114
88,0.1526,1.1593,0.1383,-23.879,43.796
89,0.15154,1.1591,0.14532,-23.933,43.855
90,0.14577,1.1448,0.14259,-23.387,43.144
91,0.12074,1.1289,0.1405,-23.434,42.945
92,0.13752,1.1547,0.14731,-24.014,43.639
93,0.12429,1.1268,0.14433,-23.285,42.967
94,0.14196,1.1521,0.14446,-23.387,43.171
95,0.1245,1.1319,0.14337,-23.769,44.513
96,0.13105,1.144,0.14705,-24.145,44.204
97,0.14351,1.1465,0.14999,-23.438,43.207
98,0.14259,1.1452,0.13953,-22.767,42.827
99,0.13394,1.1456,0.14008,-23.74,43.646
100,0.12075,1.1246,0.14145,-24.13,43.764
101,0.15063,1.1569,0.15415,-23.952,44.661
102,0.14454,1.1564,0.14425,-23.641,44.254
103,0.14779,1.149,0.14932,-24.104,43.699
104,0.12928,1.1303,0.14357,-23.718,43.452
105,0.15465,1.16,0.15441,-23.801,44.039
106,0.12392,1.127,0.13557,-23.776,42.694
107,0.1331,1.1333,0.1474,-23.855,42.981
108,0.13403,1.1408,0.14697,-23.653,43.831
109,0.13177,1.1322,0.14364,-23.845,43.633
110,0.12172,1.1294,0.14223,-23.593,43.595
111,0.10429,1.1134,0.13953,-23.919,43.565
112,0.15023,1.177,0.13492,-23.576,43.583
113,0.13776,1.1446,0.14382,-23.668,43.328
114,0.13537,1.1391,0.14787,-23.733,43.667
115,0.13711,1.1399,0.14449,-24.231,43.42
116,0.11317,1.1137,0.14104,-24.497,43.773
117,0.13537,1.1321,0.14348,-24.039,43.24
118,0.14046,1.1383,0.14167,-23.859,42.958
