step,ppo_actor/update/new_logp/avg,ppo_actor/no_eos_ratios/avg,ppo_actor/update/compute_logp/kl_div_direct/avg,timeperf/train_step,ppo_actor/update/old_logp/avg,ppo_actor/prompt_len/avg,ppo_actor/update/compute_logp/kl_div_dual/avg,ppo_actor/update/compute_logp/kl_div_taylor/avg,ppo_actor/advantages/avg,ppo_actor/seq_len/avg,ppo_actor/task_reward/avg,ppo_actor/update/compute_logp/prox_logp_gt/avg,ppo_actor/correct_seq_len/avg,ppo_actor/update/actor_loss/avg,ppo_actor/update/dual_clip_ratio/avg,ppo_actor/final_reward/avg,ppo_actor/update/approx_kl/avg,ppo_actor/update/entropy/avg,ppo_actor/update/vocab_max_logits/avg,ppo_actor/incorrect_seq_len/avg,ppo_actor/update/behave_approx_kl/avg,ppo_actor/update/vocab_min_logits/avg,ppo_actor/update/importance_weight/avg,ppo_actor/kl_rewards/avg,ppo_actor/update/behave_imp_weight/avg,ppo_actor/update/clip_ratio/avg,rollout/reward,eval-rollout/reward
1,-0.18041,0.054688,0.0012259,5.0833,-0.17918,145.09,0.00081511,0.0008203,-7.35e-09,631.66,0.40039,-0.18041,594.94,6.9178e-05,0.0,9.5703e-12,0.0,0.20879,27.727,655.99,-0.0012259,-18.036,1.0,0.0,0.99959,0.0,0.375,0.35656
2,-0.20081,0.0625,0.0010551,3.9761,-0.19975,167.88,0.00089318,0.00090376,2.0648e-08,658.61,0.38008,-0.20081,602.18,-0.00024395,0.0,-2.8467e-12,0.0,0.2316,27.238,691.91,-0.0010551,-17.954,1.0,0.0,0.99984,0.0,0.49063,
3,-0.20094,0.054688,0.0010768,3.9648,-0.19986,182.72,0.00089682,0.00091029,4.9954e-09,659.99,0.34453,-0.20094,564.85,7.6103e-05,0.0,0.0,0.0,0.23188,27.264,718.04,-0.0010768,-17.699,1.0,0.0,0.99982,0.0,0.41133,
4,-0.18057,0.0625,0.0013979,3.8388,-0.17917,159.19,0.0011079,0.0012274,5.2391e-09,614.26,0.49062,-0.18057,529.31,-0.00016347,0.0,-3.0698e-12,0.0,0.20841,27.564,690.41,-0.0013979,-17.962,1.0,0.0,0.99971,0.0,0.38555,
5,-0.18608,0.054688,0.0020528,3.9207,-0.18404,160.47,0.0017593,0.004399,-8.2335e-09,638.26,0.41133,-0.18608,574.08,-0.00019027,0.0,9.7461e-13,0.0,0.21082,27.563,681.47,-0.0020528,-18.053,0.99999,0.0,0.99971,0.0,0.44727,
6,-0.20284,0.0625,0.0021661,3.8746,-0.20067,162.75,0.0018958,0.0019639,-1.498e-08,642.2,0.38555,-0.20284,566.34,-0.00031008,0.0,-4.8562e-12,0.0,0.23211,27.245,685.48,-0.0021661,-17.894,1.0,0.0,0.99973,0.0,0.50273,
7,-0.19025,0.058594,0.0031328,3.8982,-0.18712,153.38,0.0029267,0.0030886,-5.0585e-10,624.7,0.44727,-0.19025,558.94,-0.00018898,0.0,1.1856e-11,0.0,0.21613,27.623,673.46,-0.0031328,-18.015,1.0,0.0,0.99979,0.0,0.51836,
8,-0.18615,0.046875,0.0056351,3.7956,-0.18052,144.19,0.0045384,0.0050625,-1.3407e-08,588.78,0.50273,-0.18615,530.33,-6.6547e-05,0.0,-1.2569e-11,0.0,0.21155,27.659,659.33,-0.0056351,-18.0,1.0,0.0,0.9989,0.0,0.50352,
9,-0.1748,0.0625,0.0043476,3.8972,-0.17047,160.06,0.0038138,0.0041146,-1.1586e-08,633.36,0.51836,-0.1748,593.69,-0.0003027,0.0,-3.9354e-12,0.0,0.19706,27.713,671.82,-0.0043476,-17.946,0.99999,0.0,0.99947,0.0,0.36016,
10,-0.17738,0.058594,0.0031674,3.7802,-0.17423,169.94,0.0029546,0.0033029,-4.2375e-09,620.05,0.50352,-0.17738,548.09,-0.00036192,0.0,1.5518e-12,0.0,0.20205,27.549,700.34,-0.0031674,-17.888,0.99999,0.0,0.99979,0.0,0.54805,
11,-0.18645,0.0625,0.0039368,3.8689,-0.18251,180.78,0.0034891,0.0037834,-2.1448e-08,636.54,0.36016,-0.18645,528.24,-0.00019225,0.0,9.1955e-12,0.0,0.21125,27.465,713.08,-0.0039368,-17.739,1.0,0.0,0.99955,0.0,0.54023,
