step,timeperf/train_step,sft-eval/ppl/avg,sft/loss/avg,sft/vocab_max_logits/avg,sft-eval/vocab_max_logits/avg,sft/vocab_min_logits/avg,sft-eval/loss/avg,sft-eval/vocab_min_logits/avg,sft/ppl/avg
1,2.1091,2.3448,0.77102,24.751,24.886,-14.534,0.7934,-14.736,2.2054
2,0.30873,,0.8482,24.677,,-14.551,,,2.4083
3,0.12145,,0.79843,24.463,,-14.47,,,2.2854
4,0.13065,,0.77833,24.701,,-14.45,,,2.2287
5,0.12186,,0.80275,24.898,,-14.676,,,2.2772
6,0.11999,,0.75284,25.039,,-14.914,,,2.404
7,0.12451,,0.79939,25.04,,-14.718,,,2.3646
8,0.13113,,0.80967,24.862,,-14.768,,,2.358
9,0.11877,,0.74547,25.1,,-14.719,,,2.1912
10,0.11319,,0.71728,24.741,,-14.795,,,2.2911
11,0.11267,,0.69553,24.662,,-14.654,,,2.1547
12,0.11677,,0.76755,24.366,,-14.582,,,2.2193
13,0.11758,,0.78381,24.703,,-14.72,,,2.3034
14,0.11669,,0.68854,24.932,,-14.675,,,2.051
15,0.11812,,0.70876,24.316,,-14.048,,,2.0951
16,0.16671,,0.73526,24.66,,-14.363,,,2.173
17,0.11625,,0.65779,24.315,,-14.03,,,2.0179
18,0.12644,,0.63934,24.654,,-14.229,,,1.8744
19,0.11167,,0.58376,23.78,,-13.626,,,1.8068
20,0.11571,,0.55396,23.642,,-13.362,,,1.7387
21,0.11723,,0.52384,23.921,,-13.761,,,1.6742
22,0.10798,,0.60045,23.369,,-13.258,,,1.7813
23,0.11817,,0.50518,23.813,,-13.593,,,1.7136
24,0.11698,,0.62094,23.196,,-13.078,,,1.8337
25,0.10824,,0.50991,22.968,,-12.958,,,1.6342
26,0.11178,,0.51554,22.794,,-12.827,,,1.6384
27,0.10917,,0.53703,22.257,,-12.615,,,1.7355
28,0.1145,,0.41923,22.525,,-12.731,,,1.5655
29,0.10862,,0.44321,22.173,,-12.56,,,1.6085
30,0.11648,,0.40155,22.321,,-12.525,,,1.4862
31,0.10967,,0.41396,22.179,,-12.48,,,1.5668
32,0.10944,,0.3748,21.88,,-12.273,,,1.4635
33,0.11747,,0.42064,22.048,,-12.35,,,1.5716
34,0.11657,,0.45499,21.633,,-12.365,,,1.5733
35,0.11821,,0.43853,21.842,,-12.438,,,1.6007
36,0.22098,,0.51484,21.955,,-12.278,,,1.5398
37,0.1174,,0.39739,21.8,,-12.708,,,1.5274
38,0.11688,,0.45503,21.502,,-12.364,,,1.5399
39,0.10894,,0.41492,21.312,,-12.396,,,1.5455
40,0.11294,,0.38548,21.543,,-12.391,,,1.476
41,0.11316,,0.46458,21.294,,-12.416,,,1.5571
42,0.11768,,0.40921,21.534,,-12.495,,,1.5162
43,0.11,,0.42543,21.012,,-12.339,,,1.5769
44,0.11872,,0.39513,21.593,,-12.611,,,1.5146
45,0.11227,,0.37616,21.213,,-12.539,,,1.4076
