step,timeperf/rollout,ppo_actor/incorrect_seq_len/avg,ppo_actor/update/behave_imp_weight/avg,ppo_actor/update/n_tokens,timeperf/recompute_logp,ppo_actor/incorrect_seq_len/max,ppo_actor/update/behave_imp_weight/max,ppo_actor/update/n_valid_tokens,teacher_answer_n_seqs,ppo_actor/incorrect_seq_len/min,ppo_actor/update/behave_imp_weight/min,ppo_actor/update/new_logp/avg,teacher_answer_logp/avg,ppo_actor/kl_rewards/avg,ppo_actor/update/clip_ratio/avg,ppo_actor/update/new_logp/max,teacher_answer_logp/min,ppo_actor/kl_rewards/max,ppo_actor/update/clip_ratio/max,ppo_actor/update/new_logp/min,teacher_answer_logp/max,ppo_actor/kl_rewards/min,ppo_actor/update/clip_ratio/min,ppo_actor/update/old_logp/avg,teacher_answer_len/avg,ppo_actor/mask_no_eos_with_zero,ppo_actor/update/clipped_tokens,ppo_actor/update/old_logp/max,teacher_answer_len/min,ppo_actor/n_seqs,ppo_actor/update/compute_logp/kl_div_direct/avg,ppo_actor/update/old_logp/min,teacher_answer_len/max,ppo_actor/n_tokens,ppo_actor/update/compute_logp/kl_div_direct/max,ppo_actor/update/rs_filtered_fraction,teacher_context_len/avg,ppo_actor/n_valid_tokens,ppo_actor/update/compute_logp/kl_div_direct/min,ppo_actor/update/unclipped_behave_tokens,teacher_context_len/min,ppo_actor/no_eos_ratios/avg,ppo_actor/update/compute_logp/kl_div_dual/avg,ppo_actor/update/update_successful,teacher_context_len/max,ppo_actor/no_eos_ratios/max,ppo_actor/update/compute_logp/kl_div_dual/max,ppo_actor/update/version_stats/n_valid_generated_tokens,teacher_added_prefix_len/avg,ppo_actor/no_eos_ratios/min,ppo_actor/update/compute_logp/kl_div_dual/min,ppo_actor/update/version_stats/n_valid_tokens,teacher_added_prefix_len/min,ppo_actor/prompt_len/avg,ppo_actor/update/compute_logp/kl_div_taylor/avg,ppo_actor/update/version_stats/sample_staleness_proximal_avg,teacher_added_prefix_len/max,ppo_actor/prompt_len/max,ppo_actor/update/compute_logp/kl_div_taylor/max,ppo_actor/update/version_stats/sample_staleness_proximal_max,timeperf/rollout_postprocess,ppo_actor/prompt_len/min,ppo_actor/update/compute_logp/kl_div_taylor/min,ppo_actor/update/version_stats/sample_staleness_proximal_min,timeperf/compute_advantage,ppo_actor/rs_upper,ppo_actor/update/compute_logp/n_valid_tokens,ppo_actor/update/version_stats/sample_staleness_theta_avg,timeperf/train_step,ppo_actor/seq_len/avg,ppo_actor/update/compute_logp/prox_logp_gt/avg,ppo_actor/update/version_stats/sample_staleness_theta_max,timeperf/update_weights,ppo_actor/seq_len/max,ppo_actor/update/compute_logp/prox_logp_gt/max,ppo_actor/update/version_stats/sample_staleness_theta_min,timeperf/save,ppo_actor/seq_len/min,ppo_actor/update/compute_logp/prox_logp_gt/min,ppo_actor/update/version_stats/v_proximal,timeperf/checkpoint_for_recover,ppo_actor/task_reward/avg,ppo_actor/update/dual_clip_ratio/avg,ppo_actor/update/version_stats/v_theta,timeperf/eval,ppo_actor/task_reward/max,ppo_actor/update/dual_clip_ratio/max,ppo_actor/update/vocab_max_logits/avg,timeperf/clear_batches,ppo_actor/task_reward/min,ppo_actor/update/dual_clip_ratio/min,ppo_actor/update/vocab_max_logits/max,ppo_actor/advantages/avg,ppo_actor/update/actor_loss/avg,ppo_actor/update/dual_clipped_tokens,ppo_actor/update/vocab_max_logits/min,ppo_actor/advantages/max,ppo_actor/update/actor_loss/max,ppo_actor/update/entropy/avg,ppo_actor/update/vocab_min_logits/avg,ppo_actor/advantages/min,ppo_actor/update/actor_loss/min,ppo_actor/update/entropy/max,ppo_actor/update/vocab_min_logits/max,ppo_actor/correct_n_seqs,ppo_actor/update/approx_kl/avg,ppo_actor/update/entropy/min,ppo_actor/update/vocab_min_logits/min,ppo_actor/eps_clip,ppo_actor/update/approx_kl/max,ppo_actor/update/grad_norm,ppo_actor/use_dual_clip,ppo_actor/final_reward/avg,ppo_actor/update/approx_kl/min,ppo_actor/update/importance_weight/avg,rollout/accepted,ppo_actor/final_reward/max,ppo_actor/update/behave_approx_kl/avg,ppo_actor/update/importance_weight/max,rollout/reward,ppo_actor/final_reward/min,ppo_actor/update/behave_approx_kl/max,ppo_actor/update/importance_weight/min,eval-rollout/reward,ppo_actor/incorrect_n_seqs,ppo_actor/update/behave_approx_kl/min,ppo_actor/update/lr
1,5.1752,533.27,0.9998,136520.0,2.0479,576.0,1.823,96027.0,256.0,411.0,0.19631,-0.16855,-1.3016,0.0,0.0,0.0,-9.8803,0.0,0.0,-4.6915,0.0,0.0,0.0,-0.16753,3.625,0.0,0.0,0.0,2.0,256.0,0.0010286,-4.4132,11.0,147330.0,1.6281,0.0,530.64,96027.0,-0.60047,96027.0,406.0,0.0625,0.00083041,1.0,576.0,1.0,0.82436,15962.0,3.3438,0.0,-8.9407e-08,96027.0,0.0,158.16,0.00084726,-1.0,4.0,306.0,1.3253,-1.0,0.73307,126.0,0.0,-1.0,0.14072,5.0,96027.0,0.0,5.0608,533.27,-0.16855,0.0,1.027,576.0,0.0,0.0,0.16421,411.0,-4.6915,-1.0,0.00048227,-1.3016,0.0,0.0,4.5693,0.0,0.0,27.384,0.0038924,-9.8803,0.0,48.75,-2.5424e-09,-1.6884e-05,0.0,6.5938,2.3353,4.1922,0.19424,-18.101,-2.8734,-2.8763,2.4538,-7.4375,0.0,0.0,2.9534e-16,-38.0,0.25,0.0,0.35116,0.0,-2.934e-05,0.0,1.0,1.0,1.991,-0.0010286,1.0,0.0,-2.4749,0.60047,1.0,0.0,256.0,-1.6281,0.0
2,0.0020879,558.0,0.99977,142850.0,0.59469,769.0,1.7721,98304.0,256.0,513.0,0.55964,-0.17172,-2.2432,0.0,0.0,0.0,-10.838,0.0,0.0,-4.3703,-2.9802e-08,0.0,0.0,-0.17068,19.25,0.0,0.0,0.0,2.0,256.0,0.001032,-4.2669,438.0,178180.0,0.58047,0.0,558.0,98304.0,-0.57217,98304.0,513.0,0.0625,0.0008054,1.0,769.0,1.0,0.19994,16341.0,4.0,0.0,-8.8476e-08,98304.0,4.0,174.0,0.00081155,0.0,4.0,385.0,0.16847,0.0,0.72358,129.0,0.0,0.0,0.13311,5.0,98304.0,1.0,3.9385,558.0,-0.17172,1.0,0.22766,769.0,0.0,1.0,0.00035731,513.0,-4.3703,0.0,0.00014233,-2.2432,0.0,1.0,7.1047e-05,-2.9802e-08,0.0,27.225,0.0028395,-10.838,0.0,46.0,9.5073e-10,0.00010068,0.0,6.5938,2.0091,4.342,0.20035,-17.91,-2.6457,-2.9523,2.4364,-7.0312,0.0,0.0,1.279e-16,-37.0,0.25,0.0,0.36705,0.0,-1.1035e-10,0.0,1.0,1.0,1.8793,-0.001032,1.0,0.0,-2.4749,0.57217,1.0,,256.0,-0.58047,3e-06
3,0.0018204,552.83,1.0001,141520.0,0.55591,667.0,1.9069,98110.0,256.0,437.0,0.096216,-0.1805,-2.4197,0.0,0.0,0.0,-11.392,0.0,0.0,-4.377,0.0,-0.0,0.0,-0.17977,6.75,0.0,0.0,0.0,2.0,256.0,0.00072629,-4.2623,43.0,162690.0,2.3412,0.0,552.46,98110.0,-0.64546,98110.0,433.0,0.0625,0.00083371,1.0,667.0,1.0,1.4374,16309.0,3.9688,0.0,-8.8636e-08,98110.0,0.0,169.59,0.00084801,1.0,4.0,283.0,2.7405,1.0,0.68055,127.0,0.0,1.0,0.14122,5.0,98110.0,2.0,3.8825,552.83,-0.1805,2.0,0.088719,667.0,0.0,2.0,0.00029926,437.0,-4.377,1.0,8.2814e-05,-2.4197,0.0,2.0,3.8048e-05,0.0,0.0,27.244,0.0032597,-11.392,0.0,47.5,-4.0437e-09,4.8362e-05,0.0,6.5938,1.8618,3.6819,0.20757,-17.894,-2.6525,-3.1922,2.3387,-7.4375,0.0,0.0,1.3402e-16,-38.0,0.25,0.0,0.35659,0.0,1.0266e-05,0.0,1.0,1.0,1.7217,-0.00072629,1.0,0.0,-2.4432,0.64546,1.0,,256.0,-2.3412,3e-06
4,0.0012317,542.76,0.99976,138950.0,0.55893,620.0,2.128,96761.0,256.0,350.0,0.48651,-0.17756,-2.2759,0.0,0.0,0.0,-9.0309,0.0,0.0,-4.531,0.0,-0.0,0.0,-0.17627,3.875,0.0,0.0,0.0,2.0,256.0,0.0012932,-4.2454,13.0,155260.0,0.7205,0.0,541.94,96761.0,-0.75518,96761.0,345.0,0.0625,0.0010562,1.0,620.0,1.0,0.37282,16084.0,3.6719,0.0,-8.801e-08,96761.0,0.0,164.79,0.0010621,1.0,4.0,250.0,0.28515,1.0,1.0133,129.0,0.0,1.0,0.12349,5.0,96761.0,2.0,3.8535,542.76,-0.17756,2.0,0.10415,620.0,0.0,2.0,0.00039717,350.0,-4.531,2.0,0.00012246,-2.2759,0.0,3.0,3.8658e-05,0.0,0.0,27.267,0.0032148,-9.0309,0.0,46.5,-7.0963e-10,-0.00021321,0.0,6.625,1.6097,3.9589,0.20588,-18.019,-2.674,-2.1896,2.776,-7.0625,0.0,0.0,1.6654e-16,-41.5,0.25,0.0,0.35975,0.0,-4.932e-05,0.0,1.0,1.0,1.4595,-0.0012932,1.0,0.0,-2.4748,0.75518,1.0,,256.0,-0.7205,3e-06
5,0.0014537,558.84,0.99986,143060.0,0.56126,771.0,2.1286,97543.0,256.0,438.0,0.38581,-0.18799,-2.3343,0.0,0.0,0.0,-10.208,0.0,0.0,-4.4524,-1.1921e-07,0.0,0.0,-0.18645,3.6875,0.0,0.0,0.0,2.0,256.0,0.0015326,-4.3785,10.0,179330.0,0.9524,0.0,557.09,97543.0,-0.75548,97543.0,272.0,0.0625,0.0013937,1.0,771.0,1.0,0.37315,16214.0,3.8125,0.0,-8.9407e-08,97543.0,0.0,177.81,0.0014071,1.0,4.0,500.0,0.45353,1.0,0.6793,125.0,0.0,1.0,0.1366,5.0,97543.0,2.0,3.8706,558.84,-0.18799,2.0,0.08642,771.0,0.0,2.0,0.00028416,438.0,-4.4524,3.0,0.00010812,-2.3343,0.0,4.0,3.986e-05,-1.1921e-07,0.0,27.068,0.0033925,-10.208,0.0,44.75,5.9444e-09,-0.00018626,0.0,6.625,2.4968,3.7582,0.21812,-17.799,-2.7291,-3.8361,2.4138,-7.4062,0.0,0.0,1.5703e-17,-38.25,0.25,0.0,0.37529,0.0,1.3042e-05,0.0,1.0,1.0,2.2692,-0.0015326,1.0,0.0,-2.4699,0.75548,1.0,,256.0,-0.9524,3e-06
6,0.001271,555.44,0.99974,142190.0,0.55582,748.0,3.1481,97267.0,256.0,409.0,0.28937,-0.19157,-2.4427,0.0,0.0,0.0,-10.0,0.0,0.0,-4.8859,-3.9736e-08,-0.0,0.0,-0.18954,4.9375,0.0,0.0,0.0,2.0,256.0,0.0020339,-4.8403,39.0,178560.0,1.24,0.0,554.23,97267.0,-1.1468,97267.0,383.0,0.09375,0.0017786,1.0,748.0,1.0,1.0013,16168.0,3.6875,0.0,-8.6628e-08,97267.0,0.0,175.49,0.0017996,1.0,4.0,364.0,0.76885,1.0,0.67317,134.0,0.0,1.0,0.13203,5.0,97267.0,2.0,3.8641,555.44,-0.19157,2.0,0.08555,748.0,0.0,2.0,0.000276,409.0,-4.8859,4.0,0.00010074,-2.4427,0.0,5.0,3.8808e-05,-3.9736e-08,0.0,27.018,0.0032331,-10.0,0.0,47.75,4.6278e-09,0.00015231,0.0,6.625,2.7008,5.9973,0.22168,-17.814,-2.7643,-5.3835,2.5668,-7.4375,0.0,0.0,3.7376e-16,-37.75,0.25,0.0,0.36152,0.0,1.4167e-05,0.0,1.0,1.0,2.4288,-0.0020339,1.0,0.0,-2.4749,1.1468,1.0,,256.0,-1.24,3e-06
7,0.0014748,559.11,0.99946,143130.0,0.55163,842.0,2.1364,97303.0,256.0,375.0,0.30083,-0.18334,-2.5699,0.0,0.0,0.0,-10.405,0.0,0.0,-4.6665,-1.7881e-07,0.0,0.0,-0.18132,5.7812,0.0,0.0,0.0,2.0,256.0,0.0020156,-4.5185,41.0,193920.0,1.2012,0.0,558.09,97303.0,-0.75914,97303.0,372.0,0.0625,0.0014779,1.0,842.0,1.0,0.50204,16174.0,3.75,0.0,-8.6817e-08,97303.0,0.0,179.02,0.0014919,1.0,4.0,458.0,0.72146,1.0,0.67647,128.0,0.0,1.0,0.13578,5.0,97303.0,2.0,3.8915,559.11,-0.18334,2.0,0.08401,842.0,0.0,2.0,0.00029243,375.0,-4.6665,5.0,0.00010934,-2.5699,0.0,6.0,4.0411e-05,-1.7881e-07,0.0,27.1,0.003097,-10.405,0.0,46.25,6.2727e-10,-0.00015294,0.0,6.5938,2.4833,4.4534,0.21295,-17.686,-2.6734,-3.4808,2.5162,-6.5312,0.0,0.0,4.0105e-16,-41.0,0.25,0.0,0.36038,0.0,-2.0792e-05,0.0,1.0,1.0,2.2835,-0.0020156,1.0,0.0,-2.4748,0.75914,1.0,,256.0,-1.2012,3e-06
8,0.0012402,577.45,0.99984,147830.0,0.57086,1065.0,2.5396,97439.0,256.0,438.0,0.42616,-0.1835,-2.214,0.0,0.0,0.0,-10.681,0.0,0.0,-5.0051,-2.3842e-08,0.0,0.0,-0.18178,4.375,0.0,0.0,0.0,2.0,256.0,0.0017194,-5.0781,13.0,246400.0,0.85295,0.0,576.9,97439.0,-0.93201,97439.0,425.0,0.0625,0.001559,1.0,1065.0,1.0,0.6076,16197.0,3.7812,0.0,-8.7661e-08,97439.0,0.0,196.83,0.0015711,1.0,4.0,681.0,0.43432,1.0,0.71313,140.0,0.0,1.0,0.15133,5.0,97439.0,2.0,3.9214,577.45,-0.1835,2.0,0.083339,1065.0,0.0,2.0,0.00039353,438.0,-5.0051,6.0,0.00013453,-2.214,0.0,7.0,4.0531e-05,-2.3842e-08,0.0,27.0,0.0032861,-10.681,0.0,45.5,0.0,9.5141e-05,0.0,6.625,2.0277,4.659,0.21125,-17.539,-2.7439,-2.996,2.391,-7.1562,0.0,0.0,1.6906e-15,-37.25,0.25,0.0,0.3537,0.0,-2.9659e-06,0.0,1.0,1.0,1.8255,-0.0017194,1.0,0.0,-2.4731,0.93201,1.0,,256.0,-0.85295,3e-06
9,0.0012595,559.21,0.99952,143160.0,0.57064,865.0,3.9991,95069.0,256.0,312.0,0.20524,-0.191,-2.0057,0.0,0.0,0.0,-13.34,0.0,0.0,-5.2393,0.0,0.0,0.0,-0.18861,4.9688,0.0,0.0,0.0,2.0,256.0,0.002393,-5.0325,16.0,208380.0,1.5836,0.0,557.99,95069.0,-1.3861,95069.0,308.0,0.0625,0.0019085,1.0,865.0,1.0,1.613,15802.0,3.4062,0.0,-8.8126e-08,95069.0,0.0,187.84,0.001941,1.0,4.0,481.0,1.2539,1.0,0.6894,127.0,0.0,1.0,0.13698,5.0,95069.0,2.0,3.8265,559.21,-0.191,2.0,0.083452,865.0,0.0,2.0,0.00038004,312.0,-5.2393,7.0,8.645e-05,-2.0057,0.0,8.0,3.7687e-05,0.0,0.0,26.839,0.0035225,-13.34,0.0,45.5,5.9386e-09,6.8642e-05,0.0,6.625,2.1022,4.7488,0.21896,-17.431,-2.7709,-3.349,2.5075,-6.75,0.0,0.0,5.0896e-17,-37.25,0.25,0.0,0.37125,0.0,-2.0263e-05,0.0,1.0,1.0,1.8639,-0.002393,1.0,0.0,-2.4749,1.3861,1.0,,256.0,-1.5836,3e-06
10,0.0012483,543.2,0.99959,139060.0,0.553,646.0,2.9435,96156.0,256.0,404.0,0.04639,-0.17745,-2.2954,0.0,0.0,0.0,-10.417,0.0,0.0,-5.1533,0.0,-0.0,0.0,-0.17486,4.0312,0.0,0.0,0.0,2.0,256.0,0.0025908,-5.2122,11.0,163580.0,3.0707,0.0,541.42,96156.0,-1.0796,96156.0,397.0,0.0625,0.0021836,1.0,646.0,1.0,2.1171,15983.0,3.4844,0.0,-8.801e-08,96156.0,0.0,167.59,0.002251,1.0,4.0,262.0,4.7145,1.0,0.66843,128.0,0.0,1.0,0.12815,5.0,96156.0,2.0,3.8862,543.2,-0.17745,2.0,0.082543,646.0,0.0,2.0,0.00031435,404.0,-5.1533,8.0,0.0001095,-2.2954,0.0,9.0,4.4748e-05,0.0,0.0,27.218,0.0034669,-10.417,0.0,45.5,-1.2695e-08,-9.4763e-05,0.0,6.5938,2.6046,6.6231,0.20397,-17.778,-2.7744,-4.1426,2.4188,-7.125,0.0,0.0,1.7842e-15,-37.75,0.25,0.0,0.36129,0.0,-2.9776e-05,0.0,1.0,1.0,2.3013,-0.0025908,1.0,0.0,-2.4749,1.0796,1.0,,256.0,-3.0707,3e-06
