step,timeperf/rollout,ppo_actor/correct_n_seqs,ppo_actor/update/approx_kl/avg,ppo_actor/update/importance_weight/max,timeperf/recompute_logp,ppo_actor/correct_seq_len/avg,ppo_actor/update/approx_kl/max,ppo_actor/update/importance_weight/min,teacher_answer_n_seqs,ppo_actor/correct_seq_len/max,ppo_actor/update/approx_kl/min,ppo_actor/update/lr,teacher_answer_logp/avg,ppo_actor/correct_seq_len/min,ppo_actor/update/behave_approx_kl/avg,ppo_actor/update/n_tokens,teacher_answer_logp/min,ppo_actor/eps_clip,ppo_actor/update/behave_approx_kl/max,ppo_actor/update/n_valid_tokens,teacher_answer_logp/max,ppo_actor/final_reward/avg,ppo_actor/update/behave_approx_kl/min,ppo_actor/update/new_logp/avg,teacher_answer_reward/avg,ppo_actor/final_reward/max,ppo_actor/update/behave_imp_weight/avg,ppo_actor/update/new_logp/max,teacher_answer_reward/min,ppo_actor/final_reward/min,ppo_actor/update/behave_imp_weight/max,ppo_actor/update/new_logp/min,teacher_answer_reward/max,ppo_actor/incorrect_n_seqs,ppo_actor/update/behave_imp_weight/min,ppo_actor/update/old_logp/avg,teacher_answer_len/avg,ppo_actor/incorrect_seq_len/avg,ppo_actor/update/clip_ratio/avg,ppo_actor/update/old_logp/max,teacher_answer_len/min,ppo_actor/incorrect_seq_len/max,ppo_actor/update/clip_ratio/max,ppo_actor/update/old_logp/min,teacher_answer_len/max,ppo_actor/incorrect_seq_len/min,ppo_actor/update/clip_ratio/min,ppo_actor/update/rs_filtered_fraction,teacher_context_len/avg,ppo_actor/kl_rewards/avg,ppo_actor/update/clipped_tokens,ppo_actor/update/unclipped_behave_tokens,teacher_context_len/min,ppo_actor/kl_rewards/max,ppo_actor/update/compute_logp/kl_div_direct/avg,ppo_actor/update/update_successful,teacher_context_len/max,ppo_actor/kl_rewards/min,ppo_actor/update/compute_logp/kl_div_direct/max,ppo_actor/update/version_stats/n_valid_generated_tokens,teacher_added_prefix_len/avg,ppo_actor/mask_no_eos_with_zero,ppo_actor/update/compute_logp/kl_div_direct/min,ppo_actor/update/version_stats/n_valid_tokens,teacher_added_prefix_len/min,ppo_actor/n_seqs,ppo_actor/update/compute_logp/kl_div_dual/avg,ppo_actor/update/version_stats/sample_staleness_proximal_avg,teacher_added_prefix_len/max,ppo_actor/n_tokens,ppo_actor/update/compute_logp/kl_div_dual/max,ppo_actor/update/version_stats/sample_staleness_proximal_max,teacher_format_found/avg,ppo_actor/n_valid_tokens,ppo_actor/update/compute_logp/kl_div_dual/min,ppo_actor/update/version_stats/sample_staleness_proximal_min,teacher_format_found/min,ppo_actor/no_eos_ratios/avg,ppo_actor/update/compute_logp/kl_div_taylor/avg,ppo_actor/update/version_stats/sample_staleness_theta_avg,teacher_format_found/max,ppo_actor/no_eos_ratios/max,ppo_actor/update/compute_logp/kl_div_taylor/max,ppo_actor/update/version_stats/sample_staleness_theta_max,teacher_optimized_len/avg,ppo_actor/no_eos_ratios/min,ppo_actor/update/compute_logp/kl_div_taylor/min,ppo_actor/update/version_stats/sample_staleness_theta_min,teacher_optimized_len/min,ppo_actor/prompt_len/avg,ppo_actor/update/compute_logp/n_valid_tokens,ppo_actor/update/version_stats/v_proximal,teacher_optimized_len/max,ppo_actor/prompt_len/max,ppo_actor/update/compute_logp/prox_logp_gt/avg,ppo_actor/update/version_stats/v_theta,timeperf/rollout_postprocess,ppo_actor/prompt_len/min,ppo_actor/update/compute_logp/prox_logp_gt/max,ppo_actor/update/vocab_max_logits/avg,timeperf/compute_advantage,ppo_actor/rs_upper,ppo_actor/update/compute_logp/prox_logp_gt/min,ppo_actor/update/vocab_max_logits/max,timeperf/train_step,ppo_actor/seq_len/avg,ppo_actor/update/dual_clip_ratio/avg,ppo_actor/update/vocab_max_logits/min,timeperf/update_weights,ppo_actor/seq_len/max,ppo_actor/update/dual_clip_ratio/max,ppo_actor/update/vocab_min_logits/avg,timeperf/save,ppo_actor/seq_len/min,ppo_actor/update/dual_clip_ratio/min,ppo_actor/update/vocab_min_logits/max,timeperf/checkpoint_for_recover,ppo_actor/task_reward/avg,ppo_actor/update/dual_clipped_tokens,ppo_actor/update/vocab_min_logits/min,timeperf/eval,ppo_actor/task_reward/max,ppo_actor/update/entropy/avg,ppo_actor/use_dual_clip,timeperf/clear_batches,ppo_actor/task_reward/min,ppo_actor/update/entropy/max,rollout/accepted,ppo_actor/advantages/avg,ppo_actor/update/actor_loss/avg,ppo_actor/update/entropy/min,rollout/reward,ppo_actor/advantages/max,ppo_actor/update/actor_loss/max,ppo_actor/update/grad_norm,eval-rollout/reward,ppo_actor/advantages/min,ppo_actor/update/actor_loss/min,ppo_actor/update/importance_weight/avg
1,4.9013,8.0,0.0,1.0,2.0183,514.88,0.0,1.0,256.0,548.0,0.0,0.0,-2.0675,477.0,-0.00075344,148160.0,-8.6677,0.25,0.57218,97928.0,-7.1526e-08,-0.00011643,-0.75212,-0.19905,-2.2355,2.1541,1.0001,0.0,-8.8677,-2.4732,1.7721,-4.5008,0.85417,248.0,0.47137,-0.19829,5.5312,580.81,0.0,0.0,2.0,872.0,0.0,-4.4717,24.0,513.0,0.0,0.0,578.06,0.0,0.0,97928.0,421.0,0.0,0.00075344,1.0,872.0,0.0,0.75212,16279.0,3.875,0.0,-0.57218,97928.0,0.0,256.0,0.00088271,-1.0,4.0,213890.0,0.22349,-1.0,0.03125,97928.0,-8.8039e-08,-1.0,0.0,0.0625,0.0008845,0.0,1.0,1.0,0.28284,0.0,382.53,0.0,0.0,0.0,280.0,196.21,97928.0,-1.0,384.0,488.0,-0.19905,0.0,0.76156,129.0,0.0,26.795,0.18818,5.0,-4.5008,45.75,4.987,578.75,0.0,6.5938,1.0161,872.0,0.0,-17.608,0.14756,477.0,0.0,-7.4375,0.0004265,-2.2355,0.0,-40.0,4.414,0.85417,0.23027,0.0,0.0037016,-8.8677,2.6855,1.0,-1.2465e-09,4.5705e-05,1.3241e-16,0.0,2.4425,4.1641,0.39194,0.0,-2.6977,-2.9485,1.0
2,0.0019836,12.0,0.0,1.0,0.60791,494.75,0.0,1.0,256.0,536.0,0.0,1.5e-06,-2.9987,421.0,-0.00074421,140840.0,-9.8958,0.25,0.64293,97291.0,-3.9736e-08,-6.9142e-05,-0.74575,-0.1721,-3.1341,1.8512,1.0001,0.0,-10.096,-2.443,1.9021,-4.6469,0.8599,244.0,0.47438,-0.17135,5.5625,552.89,0.0,0.0,1.0,794.0,0.0,-4.7502,32.0,323.0,0.0,0.0,549.36,0.0,0.0,97291.0,317.0,0.0,0.00074421,1.0,794.0,0.0,0.74575,16172.0,3.75,0.0,-0.64293,97291.0,0.0,256.0,0.00079673,0.0,4.0,182910.0,0.25912,0.0,0.0625,97291.0,-8.7952e-08,0.0,0.0,0.0625,0.00080157,1.0,1.0,1.0,0.27807,1.0,380.04,0.0,0.0,1.0,190.0,170.12,97291.0,0.0,384.0,410.0,-0.1721,1.0,0.73262,126.0,0.0,27.366,0.13221,5.0,-4.6469,45.75,3.9467,550.17,0.0,6.5938,0.08886,794.0,0.0,-18.028,0.00037473,323.0,0.0,-7.4375,0.00014587,-3.1341,0.0,-39.0,5.3911e-05,0.8599,0.20084,0.0,0.0034512,-10.096,2.4853,1.0,0.0,7.918e-05,2.109e-16,0.0,2.0947,3.8018,0.34757,,-2.6957,-2.5048,1.0
3,0.001586,14.0,0.0,1.0,0.57299,492.21,0.0,1.0,256.0,573.0,0.0,3e-06,-2.0401,389.0,-0.0011896,144980.0,-11.565,0.25,0.73659,97393.0,-7.9473e-08,-0.00014247,-1.3193,-0.20118,-2.1835,2.1685,0.99972,0.0,-11.765,-2.4748,2.0888,-4.6591,0.87864,242.0,0.26732,-0.19999,5.1875,570.62,0.0,0.0,2.0,791.0,0.0,-4.5218,22.0,512.0,0.0,0.0,565.54,0.0,0.0,97393.0,386.0,-0.0,0.0011896,1.0,791.0,-0.0,1.3193,16190.0,3.7812,0.0,-0.73659,97393.0,0.0,256.0,0.0009052,1.0,4.0,199680.0,0.58663,1.0,0.054688,97393.0,-8.638e-08,1.0,0.0,0.0625,0.00091195,2.0,1.0,1.0,0.87029,2.0,380.44,0.0,0.0,2.0,233.0,185.89,97393.0,1.0,384.0,407.0,-0.20118,2.0,0.72981,128.0,0.0,26.888,0.1379,5.0,-4.6591,46.25,3.8572,566.34,0.0,6.5625,0.092613,791.0,0.0,-17.702,0.00025566,389.0,0.0,-7.3125,8.3456e-05,-2.1835,0.0,-40.75,3.8729e-05,0.87864,0.23105,0.0,0.0032502,-11.765,2.4661,1.0,-1.2534e-09,2.4808e-05,3.3945e-17,0.0,2.4709,3.8201,0.36698,,-2.6897,-3.326,1.0
4,0.0011824,9.0,0.0,1.0,0.57154,500.11,0.0,1.0,256.0,620.0,0.0,3e-06,-3.9026,423.0,-0.0010009,146820.0,-20.627,0.25,0.56121,97537.0,0.0,-2.9029e-05,-0.99656,-0.18386,-4.0464,1.9288,0.99987,0.0,-20.827,-2.4748,1.7528,-4.7396,0.86354,247.0,0.36915,-0.18286,21.344,576.21,0.0,0.0,1.0,926.0,0.0,-4.3034,438.0,458.0,0.0,0.0,572.85,0.0,0.0,97537.0,419.0,0.0,0.0010009,1.0,926.0,0.0,0.99656,16214.0,3.7812,0.0,-0.56121,97537.0,0.0,256.0,0.00087024,1.0,4.0,214140.0,0.3657,1.0,0.054688,97537.0,-8.8592e-08,1.0,0.0,0.0625,0.00087642,2.0,1.0,1.0,0.49656,2.0,381.0,0.0,0.0,2.0,262.0,192.53,97537.0,2.0,384.0,542.0,-0.18386,3.0,1.1315,129.0,0.0,27.231,0.14269,5.0,-4.7396,47.75,3.8528,573.53,0.0,6.5938,0.091644,926.0,0.0,-17.698,0.00029759,423.0,0.0,-7.2188,9.6015e-05,-4.0464,0.0,-38.75,3.6425e-05,0.86354,0.21326,0.0,0.0029415,-20.827,2.4996,1.0,2.5031e-09,-0.00024292,4.1224e-17,0.0,2.1286,3.6051,0.35735,,-2.7055,-2.9419,1.0
5,0.0012106,2.0,0.0,1.0,0.56774,541.5,0.0,1.0,256.0,543.0,0.0,3e-06,-3.0209,540.0,-0.0013722,151150.0,-13.427,0.25,0.57889,98176.0,-5.9605e-08,-4.0493e-05,-1.1488,-0.19918,-3.2089,2.2783,0.99963,0.0,-13.627,-2.456,1.7841,-4.3543,0.84005,254.0,0.31701,-0.19781,22.906,590.8,0.0,0.0,2.0,1072.0,0.0,-4.3634,562.0,514.0,0.0,0.0,589.97,0.0,0.0,98176.0,463.0,0.0,0.0013722,1.0,1072.0,-0.0,1.1488,16320.0,3.9531,0.0,-0.57889,98176.0,0.0,256.0,0.0010012,1.0,4.0,252290.0,0.46583,1.0,0.011719,98176.0,-8.9407e-08,1.0,0.0,0.0625,0.0010115,2.0,1.0,1.0,0.65989,2.0,383.5,0.0,0.0,2.0,307.0,206.91,98176.0,3.0,384.0,688.0,-0.19918,4.0,0.74737,130.0,0.0,26.839,0.15613,5.0,-4.3543,47.25,3.8598,590.41,0.0,6.5938,0.091923,1072.0,0.0,-17.603,0.00036858,514.0,0.0,-7.1562,0.00010593,-3.2089,0.0,-37.75,3.5914e-05,0.84005,0.2302,0.0,0.0033983,-13.627,2.4975,1.0,-1.5542e-09,-0.00024237,8.0446e-17,0.0,2.4965,4.576,0.36794,,-2.6562,-3.303,1.0
6,0.0019896,21.0,0.0,1.0,0.55564,517.86,0.0,1.0,256.0,561.0,0.0,3e-06,-1.9067,418.0,-0.0014118,139240.0,-13.372,0.25,1.2026,97532.0,0.0,-0.00026977,-2.0892,-0.1794,-2.0192,2.3287,0.9997,0.0,-13.572,-2.4528,3.3287,-5.6606,0.86354,235.0,0.12379,-0.17799,4.5625,546.22,0.0,0.0,2.0,640.0,0.0,-4.313,18.0,511.0,0.0,0.0,542.3,0.0,0.0,97532.0,413.0,0.0,0.0014118,1.0,640.0,-0.0,2.0892,16213.0,3.6562,0.0,-1.2026,97532.0,0.0,256.0,0.0011166,1.0,4.0,162430.0,1.213,1.0,0.085938,97532.0,-8.7515e-08,1.0,0.0,0.0625,0.0011579,2.0,1.0,1.0,2.1823,2.0,380.98,0.0,0.0,2.0,262.0,162.91,97532.0,4.0,384.0,256.0,-0.1794,5.0,0.72671,127.0,0.0,27.292,0.13298,5.0,-5.6606,45.25,3.8989,543.89,0.0,6.625,0.091924,640.0,0.0,-18.005,0.00043169,418.0,0.0,-7.4375,9.252e-05,-2.0192,0.0,-37.5,4.5359e-05,0.86354,0.20605,0.0,0.0037256,-13.572,2.3965,1.0,2.5032e-09,3.0401e-05,3.7084e-17,0.0,2.8543,4.2673,0.35837,,-2.7568,-3.8827,1.0
7,0.0017877,12.0,0.0,1.0,0.56524,512.5,0.0,1.0,256.0,571.0,0.0,3e-06,-2.704,457.0,-0.0013817,144610.0,-17.842,0.25,1.1052,97612.0,0.0,-0.00013048,-1.2567,-0.18955,-2.8362,2.1844,0.99976,0.0,-18.042,-2.4749,3.0199,-4.5447,0.84476,244.0,0.28458,-0.18816,21.125,567.45,0.0,0.0,1.0,794.0,0.0,-4.5128,555.0,442.0,0.0,0.0,564.2,0.0,0.0,97612.0,429.0,0.0,0.0013817,1.0,794.0,0.0,1.2567,16226.0,3.7344,0.0,-1.1052,97612.0,0.0,256.0,0.0011382,1.0,4.0,193020.0,0.91467,1.0,0.066406,97612.0,-8.9407e-08,1.0,0.0,0.0625,0.0011469,2.0,1.0,1.0,0.78971,2.0,381.3,0.0,0.0,2.0,280.0,183.58,97612.0,5.0,384.0,410.0,-0.18955,6.0,0.7276,125.0,0.0,27.097,0.14023,5.0,-4.5447,47.0,3.8421,564.88,0.0,6.5625,0.087997,794.0,0.0,-17.88,0.00034711,442.0,0.0,-7.2188,0.00013482,-2.8362,0.0,-37.25,3.8859e-05,0.84476,0.21834,0.0,0.0031932,-18.042,2.4007,1.0,-3.1264e-09,4.2207e-05,2.5141e-16,0.0,2.468,3.6359,0.37037,,-2.6781,-3.4609,1.0
8,0.0011174,24.0,0.0,1.0,0.56343,506.75,0.0,1.0,256.0,550.0,0.0,3e-06,-1.5763,417.0,-0.0013647,142090.0,-9.4908,0.25,0.88819,97199.0,-3.9736e-08,-0.00020255,-1.2445,-0.18628,-1.6803,1.6544,0.99974,0.0,-9.6908,-2.4742,2.4307,-4.5103,0.86458,232.0,0.28807,-0.18491,7.5,560.05,0.0,0.0,2.0,844.0,0.0,-4.678,86.0,519.0,0.0,0.0,554.25,0.0,0.0,97199.0,414.0,-0.0,0.0013647,1.0,844.0,-0.0,1.2445,16157.0,3.625,0.0,-0.88819,97199.0,0.0,256.0,0.0011008,1.0,4.0,188670.0,0.54254,1.0,0.09375,97199.0,-8.9407e-08,1.0,0.0,0.0625,0.0011129,2.0,1.0,1.0,0.77443,2.0,379.68,0.0,0.0,2.0,260.0,175.37,97199.0,6.0,384.0,460.0,-0.18628,7.0,0.73224,135.0,0.0,27.102,0.14515,5.0,-4.5103,46.0,3.8713,555.05,0.0,6.5938,0.083904,844.0,0.0,-17.875,0.00041416,417.0,0.0,-7.25,0.00011225,-1.6803,0.0,-37.0,4.9715e-05,0.86458,0.21462,0.0,0.0041947,-9.6908,2.3323,1.0,3.1397e-10,8.8434e-05,4.0018e-17,0.0,1.9742,3.9553,0.37787,,-2.7313,-2.948,1.0
9,0.0013804,8.0,0.0,1.0,0.56079,405.25,0.0,1.0,256.0,454.0,0.0,3e-06,-2.5915,351.0,-0.0014468,143580.0,-9.5577,0.25,0.67378,97041.0,-2.3842e-08,-1.3561e-05,-0.83338,-0.18884,-2.7499,2.0992,0.99969,0.0,-9.7577,-2.4431,1.9616,-4.6446,0.90307,248.0,0.43458,-0.18739,9.5938,565.86,0.0,0.0,2.0,771.0,0.0,-4.7107,123.0,494.0,0.0,0.0,560.35,0.0,0.0,97041.0,347.0,0.0,0.0014468,1.0,771.0,-0.0,0.83338,16131.0,3.8438,0.0,-0.67378,97041.0,0.0,256.0,0.0011342,1.0,4.0,181890.0,0.28786,1.0,0.039062,97041.0,-8.9e-08,1.0,0.0,0.0625,0.0011471,2.0,1.0,1.0,0.34726,2.0,379.07,0.0,0.0,2.0,186.0,181.78,97041.0,7.0,384.0,387.0,-0.18884,8.0,0.7165,126.0,0.0,27.065,0.13684,5.0,-4.6446,49.0,3.839,560.84,0.0,6.625,0.085029,771.0,0.0,-17.689,0.00030756,351.0,0.0,-7.1875,0.00010324,-2.7499,0.0,-37.0,3.5614e-05,0.90307,0.21704,0.0,0.0033681,-9.7577,2.5342,1.0,9.4344e-10,0.0001274,2.3183e-16,0.0,2.2781,4.3023,0.37595,,-2.6391,-3.1935,1.0
10,0.0011463,10.0,0.0,1.0,0.55534,502.3,0.0,1.0,256.0,551.0,0.0,3e-06,-2.4582,426.0,-0.0015864,143010.0,-8.9178,0.25,0.87107,97904.0,-2.9802e-08,-8.6867e-05,-2.2869,-0.19282,-2.6183,2.3474,0.99975,0.0,-9.1178,-2.4737,2.3895,-4.4593,0.8599,246.0,0.10158,-0.19123,6.9375,560.92,0.0,0.0,2.0,678.0,0.0,-4.3147,82.0,509.0,0.0,0.0,558.44,0.0,0.0,97904.0,422.0,0.0,0.0015864,1.0,678.0,0.0,2.2869,16275.0,3.8438,0.0,-0.87107,97904.0,0.0,256.0,0.0013332,1.0,4.0,169340.0,1.3885,1.0,0.039062,97904.0,-8.7588e-08,1.0,0.0,0.0625,0.0013727,2.0,1.0,1.0,2.6149,2.0,382.44,0.0,0.0,2.0,269.0,176.19,97904.0,8.0,384.0,294.0,-0.19282,9.0,0.73883,125.0,0.0,26.923,0.13393,5.0,-4.4593,45.25,3.8511,558.63,0.0,6.5625,0.085564,678.0,0.0,-17.831,0.00027147,426.0,0.0,-7.3438,8.8644e-05,-2.6183,0.0,-37.25,3.5163e-05,0.8599,0.2219,0.0,0.0035686,-9.1178,2.3931,1.0,-1.8703e-09,-0.00018539,1.355e-16,0.0,2.612,3.9559,0.34747,,-2.6773,-3.5511,1.0
