step,timeperf/rollout,ppo_actor/kl_rewards/min,ppo_actor/update/clip_ratio/max,ppo_actor/update/new_logp/max,timeperf/recompute_logp,ppo_actor/mask_no_eos_with_zero,ppo_actor/update/clip_ratio/min,ppo_actor/update/new_logp/min,teacher_answer_n_seqs,ppo_actor/n_seqs,ppo_actor/update/clipped_tokens,ppo_actor/update/old_logp/avg,teacher_answer_logp/avg,ppo_actor/n_tokens,ppo_actor/update/compute_logp/kl_div_direct/avg,ppo_actor/update/old_logp/max,teacher_answer_logp/min,ppo_actor/n_valid_tokens,ppo_actor/update/compute_logp/kl_div_direct/max,ppo_actor/update/old_logp/min,teacher_answer_logp/max,ppo_actor/no_eos_ratios/avg,ppo_actor/update/compute_logp/kl_div_direct/min,ppo_actor/update/rs_filtered_fraction,teacher_answer_len/avg,ppo_actor/no_eos_ratios/max,ppo_actor/update/compute_logp/kl_div_dual/avg,ppo_actor/update/unclipped_behave_tokens,teacher_answer_len/min,ppo_actor/no_eos_ratios/min,ppo_actor/update/compute_logp/kl_div_dual/max,ppo_actor/update/update_successful,teacher_answer_len/max,ppo_actor/prompt_len/avg,ppo_actor/update/compute_logp/kl_div_dual/min,ppo_actor/update/version_stats/n_valid_generated_tokens,timeperf/rollout_postprocess,ppo_actor/prompt_len/max,ppo_actor/update/compute_logp/kl_div_taylor/avg,ppo_actor/update/version_stats/n_valid_tokens,timeperf/compute_advantage,ppo_actor/prompt_len/min,ppo_actor/update/compute_logp/kl_div_taylor/max,ppo_actor/update/version_stats/sample_staleness_proximal_avg,timeperf/train_step,ppo_actor/rs_upper,ppo_actor/update/compute_logp/kl_div_taylor/min,ppo_actor/update/version_stats/sample_staleness_proximal_max,timeperf/update_weights,ppo_actor/seq_len/avg,ppo_actor/update/compute_logp/n_valid_tokens,ppo_actor/update/version_stats/sample_staleness_proximal_min,timeperf/save,ppo_actor/seq_len/max,ppo_actor/update/compute_logp/prox_logp_gt/avg,ppo_actor/update/version_stats/sample_staleness_theta_avg,timeperf/checkpoint_for_recover,ppo_actor/seq_len/min,ppo_actor/update/compute_logp/prox_logp_gt/max,ppo_actor/update/version_stats/sample_staleness_theta_max,timeperf/eval,ppo_actor/task_reward/avg,ppo_actor/update/compute_logp/prox_logp_gt/min,ppo_actor/update/version_stats/sample_staleness_theta_min,timeperf/clear_batches,ppo_actor/task_reward/max,ppo_actor/update/dual_clip_ratio/avg,ppo_actor/update/version_stats/v_proximal,ppo_actor/advantages/avg,ppo_actor/task_reward/min,ppo_actor/update/dual_clip_ratio/max,ppo_actor/update/version_stats/v_theta,ppo_actor/advantages/max,ppo_actor/update/actor_loss/avg,ppo_actor/update/dual_clip_ratio/min,ppo_actor/update/vocab_max_logits/avg,ppo_actor/advantages/min,ppo_actor/update/actor_loss/max,ppo_actor/update/dual_clipped_tokens,ppo_actor/update/vocab_max_logits/max,ppo_actor/correct_n_seqs,ppo_actor/update/actor_loss/min,ppo_actor/update/entropy/avg,ppo_actor/update/vocab_max_logits/min,ppo_actor/eps_clip,ppo_actor/update/approx_kl/avg,ppo_actor/update/entropy/max,ppo_actor/update/vocab_min_logits/avg,ppo_actor/final_reward/avg,ppo_actor/update/approx_kl/max,ppo_actor/update/entropy/min,ppo_actor/update/vocab_min_logits/max,ppo_actor/final_reward/max,ppo_actor/update/approx_kl/min,ppo_actor/update/grad_norm,ppo_actor/update/vocab_min_logits/min,ppo_actor/final_reward/min,ppo_actor/update/behave_approx_kl/avg,ppo_actor/update/importance_weight/avg,ppo_actor/use_dual_clip,ppo_actor/incorrect_n_seqs,ppo_actor/update/behave_approx_kl/max,ppo_actor/update/importance_weight/max,rollout/accepted,ppo_actor/incorrect_seq_len/avg,ppo_actor/update/behave_approx_kl/min,ppo_actor/update/importance_weight/min,rollout/reward,ppo_actor/incorrect_seq_len/max,ppo_actor/update/behave_imp_weight/avg,ppo_actor/update/lr,eval-rollout/reward,ppo_actor/incorrect_seq_len/min,ppo_actor/update/behave_imp_weight/max,ppo_actor/update/n_tokens,ppo_actor/kl_rewards/avg,ppo_actor/update/behave_imp_weight/min,ppo_actor/update/n_valid_tokens,ppo_actor/kl_rewards/max,ppo_actor/update/clip_ratio/avg,ppo_actor/update/new_logp/avg
1,4.7053,-0.0,0.0,0.0,2.0151,0.0,0.0,-4.9293,256.0,256.0,0.0,-0.16821,-2.2578,144260.0,0.0010619,0.0,-13.379,97576.0,1.5661,-4.9999,-1.1921e-07,0.0625,-0.6503,0.0,3.875,1.0,0.00081447,97576.0,2.0,0.0,0.77496,1.0,18.0,108.78,-8.9407e-08,24330.0,0.6739,187.0,0.00083045,97576.0,0.13145,74.0,1.2263,-1.0,4.718,5.0,0.0,-1.0,1.0196,489.94,97576.0,-1.0,0.16395,571.0,-0.16928,0.0,0.00048961,326.0,0.0,0.0,4.4044,-2.2578,-4.9293,0.0,0.0034813,-1.1921e-07,0.0,-1.0,-3.5185e-10,-13.379,0.0,0.0,2.0615,7.025e-05,0.0,27.792,-2.6406,3.6303,0.0,48.0,0.0,-2.5649,0.1959,6.5938,0.25,0.0,2.4788,-18.137,-1.9547e-11,0.0,1.5461e-16,-7.375,1.93,0.0,0.51877,-38.0,-2.4745,-0.0010619,1.0,0.0,256.0,0.6503,1.0,1.0,489.94,-1.5661,1.0,0.0,571.0,0.99975,0.0,0.0,326.0,1.9161,125420.0,0.0,0.20886,97576.0,-0.0,0.0,-0.16928
2,0.0016532,-0.0,0.0,0.0,0.50288,0.0,0.0,-4.9336,256.0,256.0,0.0,-0.16934,-2.587,161790.0,0.0010065,0.0,-10.903,97753.0,0.98301,-5.2138,-7.7486e-07,0.0625,-0.63282,0.0,19.062,1.0,0.0007766,97753.0,2.0,0.0,0.35719,1.0,438.0,116.28,-8.9407e-08,24374.0,0.6834,333.0,0.00078517,97753.0,0.12291,77.0,0.48315,0.0,3.8444,5.0,0.0,0.0,0.089152,498.13,97753.0,0.0,0.00034233,717.0,-0.17035,1.0,0.00013139,363.0,0.0,1.0,5.8468e-05,-2.587,-4.9336,1.0,0.0029495,-7.7486e-07,0.0,0.0,1.6e-09,-10.903,0.0,1.0,2.0489,-0.00010925,0.0,27.602,-2.6309,4.027,0.0,46.25,0.0,-2.4874,0.19812,6.5938,0.25,0.0,3.0539,-17.999,-2.6829e-11,0.0,3.2545e-16,-6.9688,1.9112,0.0,0.59004,-36.25,-2.4533,-0.0010065,1.0,0.0,256.0,0.63282,1.0,1.0,498.13,-0.98301,1.0,0.0,717.0,0.99977,3e-06,,363.0,1.8829,127520.0,0.0,0.37418,97753.0,0.0,0.0,-0.17035
3,0.0011601,-0.0,0.0,0.0,0.48545,0.0,0.0,-5.2239,256.0,256.0,0.0,-0.1821,-2.4102,149380.0,0.0012991,0.0,-10.198,97231.0,4.8735,-4.2973,-2.6822e-07,0.0625,-1.0321,0.0,6.6875,1.0,0.0010427,97231.0,2.0,0.0,3.8811,1.0,43.0,117.69,-8.9407e-08,24244.0,0.5913,231.0,0.0012244,97231.0,0.10999,75.0,11.875,1.0,3.8285,5.0,0.0,1.0,0.092622,497.5,97231.0,1.0,0.00029081,615.0,-0.1834,2.0,0.00010918,373.0,0.0,2.0,3.966e-05,-2.4102,-5.2239,2.0,0.0028761,-2.6822e-07,0.0,1.0,-2.3148e-09,-10.198,0.0,2.0,1.7565,-2.7726e-05,0.0,27.537,-2.6242,3.6799,0.0,47.5,0.0,-2.8068,0.20985,6.5938,0.25,0.0,2.6978,-17.94,2.4521e-12,0.0,1.5421e-16,-7.1875,1.6453,0.0,0.56762,-36.0,-2.4637,-0.0012991,1.0,0.0,256.0,1.0321,1.0,1.0,497.5,-4.8735,1.0,0.0,615.0,0.99974,3e-06,,373.0,2.8069,127360.0,0.0,0.0076467,97231.0,0.0,0.0,-0.1834
4,0.0013572,-0.0,0.0,0.0,0.48034,0.0,0.0,-13.126,256.0,256.0,0.0,-0.17334,-3.0239,141950.0,0.0030469,0.0,-8.9969,96657.0,12.02,-4.3279,-3.6955e-06,0.0625,-1.5291,0.0,3.875,1.0,0.0028392,96657.0,2.0,0.0,11.02,1.0,13.0,111.97,-8.9407e-08,24100.0,0.60217,184.0,0.009323,96657.0,0.11894,77.0,72.236,1.0,3.7421,5.0,0.0,1.0,0.08527,489.54,96657.0,1.0,0.00030155,568.0,-0.17639,2.0,0.00012495,294.0,0.0,2.0,4.615e-05,-3.0239,-13.126,2.0,0.0033414,-3.6955e-06,0.0,2.0,3.6309e-09,-8.9969,0.0,3.0,2.4938,8.6743e-05,0.0,27.714,-2.5294,3.7011,0.0,46.75,0.0,-3.5791,0.20194,6.6562,0.25,0.0,2.413,-18.103,0.0,0.0,1.0884e-15,-7.0312,2.3346,0.0,0.57191,-37.0,-2.3599,-0.0030469,1.0,0.0,256.0,1.5291,1.0,1.0,489.54,-12.02,1.0,0.0,568.0,0.99979,3e-06,,294.0,4.6141,125320.0,0.0,6.0249e-06,96657.0,0.0,0.0,-0.17639
5,0.0044662,-0.0,0.0,0.0,0.48794,0.0,0.0,-19.792,256.0,256.0,0.0,-0.18941,-2.9563,166020.0,0.0030042,0.0,-12.344,97614.0,18.124,-4.6194,-2.3047e-06,0.0625,-0.91664,0.0,3.6875,1.0,0.0028143,97614.0,2.0,0.0,17.124,1.0,10.0,124.06,-8.9407e-08,24340.0,0.73648,335.0,0.014806,97614.0,0.12427,73.0,164.23,1.0,3.884,5.0,0.0,1.0,0.08751,505.37,97614.0,1.0,0.00035335,719.0,-0.19241,2.0,0.00013963,402.0,0.0,2.0,4.1653e-05,-2.9563,-19.792,2.0,0.0030243,-2.3047e-06,0.0,3.0,1.5632e-10,-12.344,0.0,4.0,2.4695,-0.00014713,0.0,27.404,-2.5247,4.7378,0.0,46.25,0.0,-3.5398,0.22033,6.625,0.25,0.0,2.5144,-17.862,0.0,0.0,1.2286e-16,-7.4375,2.3108,0.0,0.54435,-36.5,-2.3663,-0.0030042,1.0,0.0,256.0,0.91664,1.0,1.0,505.37,-18.124,1.0,0.0,719.0,0.99981,3e-06,,402.0,2.5009,129370.0,0.0,1.3458e-08,97614.0,0.0,0.0,-0.19241
6,0.0012592,0.0,0.0,0.0,0.48514,0.0,0.0,-21.667,256.0,256.0,0.0,-0.1913,-2.9596,165250.0,0.0039106,0.0,-12.396,95002.0,21.149,-4.7188,-2.0266e-06,0.09375,-0.81571,0.0,4.9375,1.0,0.0034072,95002.0,2.0,0.0,20.149,1.0,39.0,122.28,-8.8985e-08,23686.0,0.59608,312.0,0.020665,95002.0,0.62399,82.0,223.63,1.0,3.8093,5.0,0.0,1.0,0.084648,493.38,95002.0,1.0,0.00030924,696.0,-0.19521,2.0,0.00011187,293.0,0.0,2.0,3.2499e-05,-2.9596,-21.667,2.0,0.0030056,-2.0266e-06,0.0,4.0,1.2849e-09,-12.396,0.0,5.0,2.4581,-9.4285e-05,0.0,27.354,-2.6525,4.5644,0.0,45.25,0.0,-3.3397,0.22273,6.625,0.25,3.516e-11,2.5847,-17.882,-2.3841e-11,9.5367e-07,1.4846e-15,-7.1875,2.2992,-2.3842e-07,0.54399,-36.75,-2.4747,-0.0039106,1.0,0.0,256.0,0.81571,1.0,1.0,493.38,-21.149,1.0,0.0,696.0,0.9995,3e-06,,293.0,2.2608,126310.0,0.0,6.5346e-10,95002.0,0.0,0.0,-0.19521
7,0.00088568,0.0,0.0,0.0,0.49442,0.0,0.0,-17.708,256.0,256.0,0.0,-0.18347,-2.9983,180610.0,0.0017416,0.0,-11.567,95166.0,17.163,-4.4193,-4.1723e-07,0.0625,-0.91665,9.7618e-06,5.7812,1.0,0.0013071,95165.0,2.0,0.0,16.163,1.0,41.0,126.0,-8.801e-08,23727.0,0.60306,406.0,0.0027041,95165.0,0.13139,76.0,147.28,1.0,3.8759,5.0,0.0,1.0,0.08879,497.74,95165.0,1.0,0.00026644,790.0,-0.18519,2.0,0.00011638,245.0,0.0,2.0,3.6996e-05,-2.9983,-17.708,2.0,0.0030336,-4.1723e-07,0.0,5.0,3.5275e-09,-11.567,0.0,6.0,1.9996,-4.9002e-05,0.0,27.42,-2.6207,3.5176,0.0,46.25,0.0,-3.8259,0.21235,6.625,0.25,7.2618e-11,2.4845,-17.752,-2.2548e-11,3.3528e-07,6.7825e-16,-6.5625,1.8764,-3.2783e-07,0.55286,-40.25,-2.4743,-0.0017416,0.99999,0.0,256.0,0.91665,1.0,1.0,497.74,-17.163,0.0,0.0,790.0,0.99957,3e-06,,245.0,2.5009,127420.0,0.0,3.5186e-08,95166.0,0.0,0.0,-0.18519
8,0.00146,-0.0,0.0,0.0,0.52606,0.0,0.0,-4.4083,256.0,256.0,0.0,-0.18413,-2.9108,233090.0,0.0012282,0.0,-14.677,97201.0,1.1394,-4.6658,-8.9407e-07,0.0625,-0.68788,0.0,4.375,1.0,0.0012074,97201.0,2.0,0.0,0.45941,1.0,13.0,144.28,-8.9058e-08,16158.0,0.68145,629.0,0.0012212,97201.0,0.14385,88.0,0.64912,1.0,3.973,5.0,0.0,1.0,0.088829,523.97,97201.0,1.0,0.00066061,1013.0,-0.18536,2.0,0.00019566,336.0,0.0,2.0,4.7612e-05,-2.9108,-4.4083,2.0,0.0034816,-8.9407e-07,0.0,6.0,1.5698e-10,-14.677,0.0,7.0,2.0671,3.0281e-05,0.0,27.331,-2.6426,4.7921,0.0,46.0,0.0,-2.6891,0.2121,6.625,0.25,5.561e-12,2.5491,-17.639,0.0,4.7684e-07,3.9984e-16,-6.6875,1.9334,-3.5577e-07,0.36981,-36.5,-2.4743,-0.0012282,1.0,0.0,256.0,0.68788,1.0,1.0,523.97,-1.1394,1.0,0.0,1013.0,0.99998,3e-06,,336.0,1.9895,134140.0,0.0,0.32001,97201.0,0.0,0.0,-0.18536
9,0.0021987,0.0,0.0,0.0,0.49005,0.0,0.0,-5.2398,256.0,256.0,0.0,-0.18649,-2.3965,195070.0,0.0015337,0.0,-11.883,95387.0,1.4698,-4.5595,-3.4173e-06,0.054688,-0.77674,0.0,4.9688,1.0,0.001479,95387.0,2.0,0.0,0.69976,1.0,16.0,134.62,-8.8243e-08,23783.0,0.6312,429.0,0.0015191,95387.0,0.13259,75.0,1.0801,1.0,3.9247,5.0,0.0,1.0,0.089875,507.23,95387.0,1.0,0.00038848,813.0,-0.18803,2.0,0.00013612,254.0,0.0,2.0,4.2484e-05,-2.3965,-5.2398,2.0,0.003693,-3.4173e-06,0.0,7.0,-2.7194e-09,-11.883,0.0,8.0,2.1728,-0.00034029,0.0,27.195,-2.6271,4.45,0.0,45.75,0.0,-3.1974,0.21769,6.625,0.25,4.4862e-11,2.364,-17.579,1.4997e-11,3.3528e-07,5.9469e-17,-6.8125,2.0437,-3.2037e-07,0.54833,-36.75,-2.4744,-0.0015337,1.0,0.0,256.0,0.77674,1.0,1.0,507.23,-1.4698,1.0,0.0,813.0,0.99995,3e-06,,254.0,2.1744,129850.0,0.0,0.22998,95387.0,0.0,0.0,-0.18803
10,0.0013129,0.0,0.0,0.0,0.47598,0.0,0.0,-4.6078,256.0,256.0,0.0,-0.16896,-2.5537,150270.0,0.0023754,0.0,-8.7308,95158.0,1.6258,-4.3255,-1.9868e-07,0.0625,-1.2691,0.0,4.0312,1.0,0.001863,95158.0,2.0,0.0,1.2885,1.0,11.0,113.81,-8.9407e-08,23726.0,0.58681,210.0,0.0019115,95158.0,0.11674,76.0,1.3216,1.0,3.7053,5.0,0.0,1.0,0.092381,485.52,95158.0,1.0,0.00035504,594.0,-0.17133,2.0,0.00012485,290.0,0.0,2.0,4.1082e-05,-2.5537,-4.6078,2.0,0.0035361,-1.9868e-07,0.0,8.0,8.0176e-10,-8.7308,0.0,9.0,1.8605,5.5344e-05,0.0,27.641,-2.617,7.6254,0.0,45.0,0.0,-2.5605,0.19727,6.625,0.25,2.3506e-11,2.3553,-17.921,-3.0066e-11,3.4645e-07,1.4319e-15,-7.0312,1.7449,-2.3842e-07,0.52875,-36.25,-2.4716,-0.0023754,1.0,0.0,256.0,1.2691,1.0,1.0,485.52,-1.6258,1.0,0.0,594.0,0.99949,3e-06,,290.0,3.5575,124290.0,0.0,0.19675,95158.0,0.0,0.0,-0.17133
