step,timeperf/load_bcast,sft-eval/n_valid_tokens,sft/grad_norm,sft/prompt_tokens,timeperf/train_step,sft-eval/ppl/avg,sft/loss/avg,sft/update_successful,timeperf/save,sft-eval/ppl/max,sft/loss/max,sft/vocab_max_logits/avg,timeperf/checkpoint_for_recover,sft-eval/ppl/min,sft/loss/min,sft/vocab_max_logits/max,timeperf/eval,sft-eval/prompt_tokens,sft/lr,sft/vocab_max_logits/min,timeperf/clear_batches,sft-eval/vocab_max_logits/avg,sft/n_seqs,sft/vocab_min_logits/avg,sft-eval/loss/avg,sft-eval/vocab_max_logits/max,sft/n_tokens,sft/vocab_min_logits/max,sft-eval/loss/max,sft-eval/vocab_max_logits/min,sft/n_valid_tokens,sft/vocab_min_logits/min,sft-eval/loss/min,sft-eval/vocab_min_logits/avg,sft/ppl/avg,sft-eval/n_seqs,sft-eval/vocab_min_logits/max,sft/ppl/max,sft-eval/n_tokens,sft-eval/vocab_min_logits/min,sft/ppl/min
1,0.17712,28481.0,13.831,4603.0,2.1091,2.3448,0.77102,1.0,0.18606,6.6524,31.382,24.751,0.00045254,1.4405,-0.0,42.5,0.4982,17967.0,0.0,6.5938,0.00033772,24.886,32.0,-14.534,0.7934,42.0,11424.0,-7.1562,33.589,6.5938,6821.0,-38.0,-0.0,-14.736,2.2054,126.0,-7.0312,3.5635,46448.0,-37.75,1.4683
2,0.018646,,13.452,4745.0,0.30873,,0.8482,1.0,0.00047288,,31.852,24.677,0.00019644,,-0.0,43.5,0.00012079,,1.1321e-07,6.5938,0.00029097,,32.0,-14.551,,,11899.0,-7.2188,,,7154.0,-38.25,,,2.4083,,,5.1334,,,1.6673
3,0.0012524,,15.714,4659.0,0.12145,,0.79843,1.0,0.00025624,,30.04,24.463,6.1853e-05,,-0.0,41.75,3.998e-05,,2.2642e-07,6.5938,0.00024467,,32.0,-14.47,,,10117.0,-7.1562,,,5458.0,-37.5,,,2.2854,,,3.5112,,,1.6733
4,0.001091,,11.958,5074.0,0.13065,,0.77833,1.0,0.00014646,,25.821,24.701,5.1768e-05,,-0.0,41.75,3.6425e-05,,3.3962e-07,6.625,0.00022516,,32.0,-14.45,,,12774.0,-7.0625,,,7700.0,-38.5,,,2.2287,,,4.1145,,,1.3766
5,0.0010292,,14.266,5300.0,0.12186,,0.80275,1.0,0.00016979,,30.884,24.898,6.4197e-05,,-0.0,41.75,4.5088e-05,,4.5283e-07,6.5625,0.00022685,,32.0,-14.676,,,12735.0,-7.2188,,,7435.0,-37.75,,,2.2772,,,3.3549,,,1.5823
6,0.013253,,13.385,4783.0,0.11999,,0.75284,1.0,0.00025339,,29.069,25.039,6.1342e-05,,-0.0,41.75,3.8848e-05,,5.6604e-07,6.5625,0.00026538,,32.0,-14.914,,,12112.0,-7.3438,,,7329.0,-37.25,,,2.404,,,4.5484,,,1.3205
7,0.0010394,,14.694,6047.0,0.12451,,0.79939,1.0,0.0001283,,31.725,25.04,6.656e-05,,-0.0,41.75,3.5714e-05,,6.7925e-07,6.5938,0.00022741,,32.0,-14.718,,,12092.0,-7.4375,,,6045.0,-37.75,,,2.3646,,,4.0559,,,1.5826
8,0.00094926,,12.547,5022.0,0.13113,,0.80967,1.0,0.00016915,,26.569,24.862,5.8408e-05,,-0.0,42.0,3.6755e-05,,7.9245e-07,6.5625,0.00024096,,32.0,-14.768,,,13295.0,-7.3438,,,8273.0,-37.75,,,2.358,,,4.2087,,,1.4821
9,0.0067344,,13.792,4822.0,0.11877,,0.74547,1.0,0.00010932,,30.54,25.1,5.7176e-05,,-0.0,41.75,3.308e-05,,9.0566e-07,6.625,0.00021325,,32.0,-14.719,,,12388.0,-7.4062,,,7566.0,-37.5,,,2.1912,,,3.1651,,,1.563
10,0.0097917,,14.086,4520.0,0.11319,,0.71728,1.0,0.00012375,,30.04,24.741,5.1247e-05,,-0.0,41.5,3.2058e-05,,1.0189e-06,6.5938,0.00021975,,32.0,-14.795,,,10050.0,-7.1875,,,5530.0,-37.75,,,2.2911,,,4.1506,,,1.3782
11,0.0067474,,12.55,4781.0,0.11267,,0.69553,1.0,0.00010969,,28.79,24.662,5.0526e-05,,-0.0,42.0,3.1577e-05,,1.1321e-06,6.5938,0.00022049,,32.0,-14.654,,,10962.0,-7.4375,,,6181.0,-37.25,,,2.1547,,,4.5535,,,1.5013
12,0.0067851,,12.8,5846.0,0.11677,,0.76755,1.0,0.00012608,,30.166,24.366,4.1983e-05,,-0.0,42.25,3.277e-05,,1.2453e-06,6.6562,0.00021113,,32.0,-14.582,,,11882.0,-7.1562,,,6036.0,-37.5,,,2.2193,,,4.1715,,,1.3254
13,0.0065127,,11.556,5028.0,0.11758,,0.78381,1.0,0.00012186,,30.01,24.703,4.6681e-05,,-0.0,42.0,3.1668e-05,,1.3585e-06,6.6562,0.00021696,,32.0,-14.72,,,12285.0,-7.4375,,,7257.0,-37.75,,,2.3034,,,4.6995,,,1.3534
14,0.0096719,,10.708,4536.0,0.11669,,0.68854,1.0,0.00014177,,22.902,24.932,4.627e-05,,-0.0,42.25,3.1497e-05,,1.4717e-06,6.625,0.00022615,,32.0,-14.675,,,12214.0,-7.1562,,,7678.0,-37.25,,,2.051,,,3.7981,,,1.3079
15,0.0065671,,10.827,5224.0,0.11812,,0.70876,1.0,0.00038113,,24.749,24.316,8.5299e-05,,-0.0,41.75,4.4628e-05,,1.5849e-06,6.5938,0.00027871,,32.0,-14.048,,,12437.0,-7.375,,,7213.0,-37.25,,,2.0951,,,3.6417,,,1.3909
16,0.012867,,9.9042,5971.0,0.16671,,0.73526,1.0,0.00020234,,28.392,24.66,6.3556e-05,,-0.0,42.25,4.8212e-05,,1.6981e-06,6.5938,0.00024966,,32.0,-14.363,,,16080.0,-7.1875,,,10109.0,-37.0,,,2.173,,,4.4923,,,1.4274
17,0.011948,,9.3021,4995.0,0.11625,,0.65779,1.0,0.00010355,,20.795,24.315,5.1447e-05,,-0.0,41.75,3.6425e-05,,1.8113e-06,6.5938,0.00021251,,32.0,-14.03,,,11830.0,-7.3125,,,6835.0,-37.25,,,2.0179,,,4.1311,,,1.3459
18,0.014015,,8.1411,4725.0,0.12644,,0.63934,1.0,0.00026074,,19.485,24.654,6.2354e-05,,-0.0,41.75,3.7267e-05,,1.9245e-06,6.625,0.00022198,,32.0,-14.229,,,13524.0,-7.0312,,,8799.0,-37.5,,,1.8744,,,2.7277,,,1.1932
19,0.011798,,7.0113,5119.0,0.11167,,0.58376,1.0,0.00010738,,13.479,23.78,5.1698e-05,,-0.0,40.0,3.5443e-05,,2.0377e-06,6.5625,0.00020857,,32.0,-13.626,,,11177.0,-7.375,,,6058.0,-36.5,,,1.8068,,,3.1349,,,1.2918
20,0.0063921,,6.7032,5339.0,0.11571,,0.55396,1.0,9.6095e-05,,17.813,23.642,5.5183e-05,,-0.0,40.5,3.5994e-05,,2.1509e-06,6.4375,0.00021275,,32.0,-13.362,,,12072.0,-6.9062,,,6733.0,-37.25,,,1.7387,,,2.3171,,,1.2901
21,0.011315,,5.5104,4902.0,0.11723,,0.52384,1.0,0.00013296,,22.097,23.921,4.3165e-05,,-0.0,40.75,3.4341e-05,,2.2642e-06,6.625,0.0002125,,32.0,-13.761,,,12581.0,-6.9375,,,7679.0,-37.5,,,1.6742,,,2.5975,,,1.2755
22,0.011202,,6.6764,4828.0,0.10798,,0.60045,1.0,0.00010043,,23.252,23.369,4.5008e-05,,-0.0,39.5,3.2619e-05,,2.3774e-06,6.5938,0.00020782,,32.0,-13.258,,,10609.0,-7.375,,,5781.0,-37.25,,,1.7813,,,3.3828,,,1.2285
23,0.011457,,5.3103,4906.0,0.11817,,0.50518,1.0,0.00030401,,17.752,23.813,6.3025e-05,,-0.0,39.75,4.0321e-05,,2.4906e-06,6.4375,0.00026187,,32.0,-13.593,,,11886.0,-6.5,,,6980.0,-38.25,,,1.7136,,,2.6642,,,1.3407
24,0.012505,,5.8851,5439.0,0.11698,,0.62094,1.0,0.00013535,,13.997,23.196,5.0806e-05,,1.1921e-07,39.0,3.8778e-05,,2.6038e-06,6.4688,0.00025502,,32.0,-13.078,,,12221.0,-7.0,,,6782.0,-37.5,,,1.8337,,,4.2284,,,1.3026
25,0.01209,,4.9291,4851.0,0.10824,,0.50991,1.0,0.00010637,,13.464,22.968,4.669e-05,,-0.0,39.0,3.6194e-05,,2.717e-06,6.4688,0.00021586,,32.0,-12.958,,,10162.0,-6.7812,,,5311.0,-37.75,,,1.6342,,,2.6903,,,1.3258
26,0.011298,,4.3082,4466.0,0.11178,,0.51554,1.0,9.2389e-05,,14.001,22.794,5.0796e-05,,-0.0,37.5,3.302e-05,,2.8302e-06,6.5,0.00022243,,32.0,-12.827,,,11030.0,-7.0,,,6564.0,-37.75,,,1.6384,,,3.4671,,,1.2504
27,0.010447,,4.3795,4641.0,0.10917,,0.53703,1.0,0.00012102,,15.338,22.257,4.5258e-05,,1.1921e-07,37.0,3.4232e-05,,2.9434e-06,6.5938,0.00024978,,32.0,-12.615,,,10319.0,-7.1875,,,5678.0,-37.75,,,1.7355,,,2.6886,,,1.2345
28,0.012511,,3.8456,4995.0,0.1145,,0.41923,1.0,0.00022279,,15.363,22.525,5.7557e-05,,-0.0,39.0,3.8588e-05,,3.0566e-06,6.625,0.00022673,,32.0,-12.731,,,11471.0,-6.7188,,,6476.0,-37.5,,,1.5655,,,2.2879,,,1.1884
29,0.01004,,4.1065,4829.0,0.10862,,0.44321,1.0,0.00011865,,22.115,22.173,4.6641e-05,,-0.0,38.75,3.346e-05,,3.1698e-06,6.5312,0.00021404,,32.0,-12.56,,,10327.0,-6.9062,,,5498.0,-37.75,,,1.6085,,,3.6333,,,1.1431
30,0.010026,,3.3647,4391.0,0.11648,,0.40155,1.0,0.00014948,,12.087,22.321,5.1568e-05,,-0.0,38.0,3.8788e-05,,3.283e-06,6.5312,0.0002565,,32.0,-12.525,,,11877.0,-6.5938,,,7486.0,-37.25,,,1.4862,,,2.5624,,,1.1882
31,0.010145,,3.4977,4717.0,0.10967,,0.41396,1.0,0.00011856,,14.239,22.179,4.615e-05,,1.1921e-07,38.25,3.5453e-05,,3.3962e-06,6.5938,0.0002372,,32.0,-12.48,,,10930.0,-6.4688,,,6213.0,-37.25,,,1.5668,,,2.5921,,,1.1098
32,0.0072239,,3.1349,4350.0,0.10944,,0.3748,1.0,9.8168e-05,,10.6,21.88,4.3014e-05,,-0.0,40.5,4.1803e-05,,3.5094e-06,6.625,0.00021808,,32.0,-12.273,,,10091.0,-6.5625,,,5741.0,-37.25,,,1.4635,,,2.4934,,,1.2596
33,0.011597,,3.3081,5242.0,0.11747,,0.42064,1.0,0.00011065,,14.501,22.048,4.3977e-05,,-0.0,39.0,3.3731e-05,,3.6226e-06,6.5625,0.00021129,,32.0,-12.35,,,12828.0,-6.7188,,,7586.0,-37.25,,,1.5716,,,3.1411,,,1.222
34,0.0075069,,3.3996,4798.0,0.11657,,0.45499,1.0,0.00016669,,20.733,21.633,5.4011e-05,,-0.0,38.5,3.8668e-05,,3.7358e-06,6.5938,0.00024918,,32.0,-12.365,,,10979.0,-6.6875,,,6181.0,-37.25,,,1.5733,,,2.0536,,,1.1787
35,0.0099366,,2.9032,4686.0,0.11821,,0.43853,1.0,0.00020841,,21.114,21.842,6.2284e-05,,-0.0,39.0,3.6736e-05,,3.8491e-06,6.5938,0.00023909,,32.0,-12.438,,,12289.0,-6.2812,,,7603.0,-37.0,,,1.6007,,,2.9616,,,1.1373
36,0.012258,,3.2671,4354.0,0.22098,,0.51484,1.0,0.00011795,,14.087,21.955,5.5944e-05,,3.5763e-07,38.75,3.4803e-05,,3.9623e-06,6.625,0.00021454,,32.0,-12.278,,,12620.0,-6.6562,,,8266.0,-37.0,,,1.5398,,,2.0288,,,1.2704
37,0.010132,,2.7181,4640.0,0.1174,,0.39739,1.0,0.00012897,,10.971,21.8,0.00019462,,-0.0,40.0,5.5844e-05,,4.0755e-06,6.625,0.00036369,,32.0,-12.708,,,12286.0,-6.625,,,7646.0,-36.75,,,1.5274,,,2.2686,,,1.1217
38,0.0069861,,3.0352,5102.0,0.11688,,0.45503,1.0,0.00011599,,11.44,21.502,5.5404e-05,,3.5763e-07,36.5,3.4913e-05,,4.1887e-06,6.625,0.00023074,,32.0,-12.364,,,12330.0,-5.875,,,7228.0,-36.75,,,1.5399,,,2.3645,,,1.1531
39,0.010165,,3.1709,4965.0,0.10894,,0.41492,1.0,0.00014006,,11.133,21.312,5.0476e-05,,-0.0,36.75,3.8288e-05,,4.3019e-06,6.625,0.00024599,,32.0,-12.396,,,10391.0,-6.5938,,,5426.0,-37.0,,,1.5455,,,3.0168,,,1.1195
40,0.011362,,2.8839,5153.0,0.11294,,0.38548,1.0,0.00013139,,12.921,21.543,5.5614e-05,,-0.0,40.0,3.6866e-05,,4.4151e-06,6.625,0.00024683,,32.0,-12.391,,,11980.0,-5.8438,,,6827.0,-37.25,,,1.476,,,2.0945,,,1.1355
41,0.0074324,,3.1101,4372.0,0.11316,,0.46458,1.0,0.00010246,,12.643,21.294,5.2779e-05,,-0.0,38.0,3.5854e-05,,4.5283e-06,6.5938,0.00025318,,32.0,-12.416,,,11108.0,-6.5625,,,6736.0,-37.0,,,1.5571,,,2.3734,,,1.1863
42,0.0076244,,2.7141,4834.0,0.11768,,0.40921,1.0,9.6896e-05,,14.876,21.534,5.1347e-05,,-0.0,39.0,7.7256e-05,,4.6415e-06,6.5938,0.00024433,,32.0,-12.495,,,12476.0,-6.5,,,7642.0,-37.0,,,1.5162,,,2.0858,,,1.1512
43,0.0071672,,3.4861,5069.0,0.11,,0.42543,1.0,0.00020485,,13.566,21.012,6.7772e-05,,-0.0,40.5,3.8077e-05,,4.7547e-06,6.5938,0.00023131,,32.0,-12.339,,,10587.0,-6.4375,,,5518.0,-37.0,,,1.5769,,,2.8741,,,1.1111
44,0.011499,,2.7946,5048.0,0.11872,,0.39513,1.0,0.00013242,,14.786,21.593,5.3521e-05,,-0.0,39.5,3.5354e-05,,4.8679e-06,6.6562,0.00022404,,32.0,-12.611,,,12584.0,-6.3125,,,7536.0,-37.0,,,1.5146,,,2.3731,,,1.174
45,0.0066357,,3.106,4626.0,0.11227,,0.37616,1.0,9.9891e-05,,11.789,21.213,4.9395e-05,,1.1921e-07,36.5,3.4182e-05,,4.9811e-06,6.625,0.0002105,,32.0,-12.539,,,10895.0,-6.25,,,6269.0,-37.0,,,1.4076,,,1.8514,,,1.1641
46,0.0063719,,3.1033,4295.0,0.10826,,0.48935,1.0,0.00014636,,12.5,21.069,5.7517e-05,,-0.0,37.25,3.8849e-05,,5.0943e-06,6.5,0.00025297,,32.0,-12.318,,,10601.0,-6.25,,,6306.0,-36.75,,,1.6106,,,2.6738,,,1.1792
47,0.007388,,2.602,5348.0,0.12221,,0.47517,1.0,0.00023368,,13.334,21.333,7.1938e-05,,2.3842e-07,36.5,3.9439e-05,,5.2075e-06,6.4688,0.00024999,,32.0,-12.563,,,14139.0,-6.125,,,8791.0,-36.75,,,1.6337,,,2.5163,,,1.1196
48,0.012354,,2.683,4699.0,0.1153,,0.37202,1.0,0.00011998,,11.59,21.44,5.3351e-05,,-0.0,38.0,3.6635e-05,,5.3208e-06,6.4688,0.00022769,,32.0,-12.716,,,11276.0,-6.1562,,,6577.0,-36.5,,,1.4625,,,2.277,,,1.0487
49,0.006694,,2.7228,5161.0,0.12587,,0.45974,1.0,0.00010286,,13.988,21.458,4.9634e-05,,-0.0,39.25,3.4101e-05,,5.434e-06,6.4688,0.00021904,,32.0,-12.536,,,14182.0,-6.1875,,,9021.0,-36.5,,,1.5279,,,2.0829,,,1.1476
50,0.006984,28481.0,2.7012,4979.0,0.12004,1.5564,0.45582,1.0,5.7188,3.1312,11.094,21.482,0.00021973,1.0831,1.1921e-07,36.5,0.45405,17967.0,5.5472e-06,6.4688,0.00039437,21.519,32.0,-12.725,0.42512,38.25,13050.0,-6.2812,16.501,6.5,8071.0,-36.5,-0.0,-12.677,1.5861,126.0,-6.2188,2.8644,46448.0,-36.5,1.194
51,0.010118,,3.2512,4845.0,0.11328,,0.38744,1.0,0.00044652,,12.438,21.304,0.0001423,,-0.0,38.5,9.1708e-05,,5.6604e-06,6.5,0.00023958,,32.0,-12.519,,,10683.0,-6.2188,,,5838.0,-36.5,,,1.4613,,,2.346,,,1.0977
