step,timeperf/rollout,ppo_actor/n_tokens,ppo_actor/update/clip_ratio/min,ppo_actor/update/new_logp/avg,timeperf/recompute_logp,ppo_actor/n_valid_tokens,ppo_actor/update/clipped_tokens,ppo_actor/update/new_logp/max,timeperf/compute_advantage,ppo_actor/no_eos_ratios/avg,ppo_actor/update/compute_logp/kl_div_direct/avg,ppo_actor/update/new_logp/min,timeperf/train_step,ppo_actor/no_eos_ratios/max,ppo_actor/update/compute_logp/kl_div_direct/max,ppo_actor/update/old_logp/avg,timeperf/update_weights,ppo_actor/no_eos_ratios/min,ppo_actor/update/compute_logp/kl_div_direct/min,ppo_actor/update/old_logp/max,timeperf/save,ppo_actor/prompt_len/avg,ppo_actor/update/compute_logp/kl_div_dual/avg,ppo_actor/update/old_logp/min,timeperf/checkpoint_for_recover,ppo_actor/prompt_len/max,ppo_actor/update/compute_logp/kl_div_dual/max,ppo_actor/update/rs_filtered_fraction,timeperf/eval,ppo_actor/prompt_len/min,ppo_actor/update/compute_logp/kl_div_dual/min,ppo_actor/update/unclipped_behave_tokens,timeperf/clear_batches,ppo_actor/rs_upper,ppo_actor/update/compute_logp/kl_div_taylor/avg,ppo_actor/update/update_successful,ppo_actor/advantages/avg,ppo_actor/seq_len/avg,ppo_actor/update/compute_logp/kl_div_taylor/max,ppo_actor/update/version_stats/n_valid_generated_tokens,ppo_actor/advantages/max,ppo_actor/seq_len/max,ppo_actor/update/compute_logp/kl_div_taylor/min,ppo_actor/update/version_stats/n_valid_tokens,ppo_actor/advantages/min,ppo_actor/seq_len/min,ppo_actor/update/compute_logp/n_valid_tokens,ppo_actor/update/version_stats/sample_staleness_proximal_avg,ppo_actor/correct_n_seqs,ppo_actor/task_reward/avg,ppo_actor/update/compute_logp/prox_logp_gt/avg,ppo_actor/update/version_stats/sample_staleness_proximal_max,ppo_actor/correct_seq_len/avg,ppo_actor/task_reward/max,ppo_actor/update/compute_logp/prox_logp_gt/max,ppo_actor/update/version_stats/sample_staleness_proximal_min,ppo_actor/correct_seq_len/max,ppo_actor/task_reward/min,ppo_actor/update/compute_logp/prox_logp_gt/min,ppo_actor/update/version_stats/sample_staleness_theta_avg,ppo_actor/correct_seq_len/min,ppo_actor/update/actor_loss/avg,ppo_actor/update/dual_clip_ratio/avg,ppo_actor/update/version_stats/sample_staleness_theta_max,ppo_actor/eps_clip,ppo_actor/update/actor_loss/max,ppo_actor/update/dual_clip_ratio/max,ppo_actor/update/version_stats/sample_staleness_theta_min,ppo_actor/final_reward/avg,ppo_actor/update/actor_loss/min,ppo_actor/update/dual_clip_ratio/min,ppo_actor/update/version_stats/v_proximal,ppo_actor/final_reward/max,ppo_actor/update/approx_kl/avg,ppo_actor/update/dual_clipped_tokens,ppo_actor/update/version_stats/v_theta,ppo_actor/final_reward/min,ppo_actor/update/approx_kl/max,ppo_actor/update/entropy/avg,ppo_actor/update/vocab_max_logits/avg,ppo_actor/incorrect_n_seqs,ppo_actor/update/approx_kl/min,ppo_actor/update/entropy/max,ppo_actor/update/vocab_max_logits/max,ppo_actor/incorrect_seq_len/avg,ppo_actor/update/behave_approx_kl/avg,ppo_actor/update/entropy/min,ppo_actor/update/vocab_max_logits/min,ppo_actor/incorrect_seq_len/max,ppo_actor/update/behave_approx_kl/max,ppo_actor/update/grad_norm,ppo_actor/update/vocab_min_logits/avg,ppo_actor/incorrect_seq_len/min,ppo_actor/update/behave_approx_kl/min,ppo_actor/update/importance_weight/avg,ppo_actor/update/vocab_min_logits/max,ppo_actor/kl_rewards/avg,ppo_actor/update/behave_imp_weight/avg,ppo_actor/update/importance_weight/max,ppo_actor/update/vocab_min_logits/min,ppo_actor/kl_rewards/max,ppo_actor/update/behave_imp_weight/max,ppo_actor/update/importance_weight/min,ppo_actor/use_dual_clip,ppo_actor/kl_rewards/min,ppo_actor/update/behave_imp_weight/min,ppo_actor/update/lr,rollout/accepted,ppo_actor/mask_no_eos_with_zero,ppo_actor/update/clip_ratio/avg,ppo_actor/update/n_tokens,rollout/reward,ppo_actor/n_seqs,ppo_actor/update/clip_ratio/max,ppo_actor/update/n_valid_tokens,eval-rollout/reward
1,6.3566,190980.0,0.0,-0.18041,1.964,124560.0,0.0,0.0,0.12123,0.054688,0.0012259,-4.9669,5.0833,1.0,0.85729,-0.17918,1.7004,0.0,-0.72125,0.0,0.20418,145.09,0.00081511,-4.8599,0.00046656,242.0,0.33575,0.0,5.4143,105.0,-8.9407e-08,124560.0,0.0035069,5.0,0.0008203,1.0,-7.35e-09,631.66,0.36748,20718.0,3.3027,754.0,0.0,124560.0,-3.2489,368.0,124560.0,-1.0,102.0,0.40039,-0.18041,-1.0,594.94,1.1,0.0,-1.0,738.0,0.0,-4.9669,0.0,368.0,6.9178e-05,0.0,0.0,0.4,4.4159,0.0,0.0,9.5703e-12,-4.2055,0.0,-1.0,2.4749,0.0,0.0,0.0,-2.4749,0.0,0.20879,27.727,154.0,0.0,2.49,46.25,655.99,-0.0012259,3.374e-16,6.5938,754.0,0.72125,0.33372,-18.036,446.0,-0.85729,1.0,-7.3438,0.0,0.99959,1.0,-37.5,0.0,2.057,1.0,0.0,0.0,0.42431,0.0,1.0,0.0,0.0,161710.0,0.375,256.0,0.0,124560.0,0.35656
2,0.0011023,228220.0,0.0,-0.20081,0.51185,125630.0,0.0,0.0,0.10954,0.0625,0.0010551,-4.7948,3.9761,1.0,1.7009,-0.19975,0.089591,0.0,-0.6843,0.0,0.00045698,167.88,0.00089318,-4.5974,0.00015824,394.0,0.88343,0.0,6.7442e-05,113.0,-8.9407e-08,125630.0,0.0031924,5.0,0.00090376,1.0,2.0648e-08,658.61,1.4465,20895.0,3.3587,906.0,0.0,125630.0,-3.3284,411.0,125630.0,0.0,95.0,0.38008,-0.20081,0.0,602.18,1.1,0.0,0.0,906.0,0.0,-4.7948,1.0,411.0,-0.00024395,0.0,1.0,0.4,3.9607,0.0,1.0,-2.8467e-12,-4.8836,0.0,0.0,2.4749,0.0,0.0,1.0,-2.4748,0.0,0.2316,27.238,161.0,0.0,2.6613,46.75,691.91,-0.0010551,6.8114e-16,6.5938,906.0,0.6843,0.3428,-17.954,625.0,-1.7009,1.0,-7.4375,0.0,0.99984,1.0,-37.75,0.0,1.9824,1.0,0.0,0.0,0.18252,1.25e-06,1.0,0.0,0.0,168600.0,0.49063,256.0,0.0,125630.0,
3,0.0009217,263940.0,0.0,-0.20094,0.50161,122180.0,0.0,0.0,0.1229,0.054688,0.0010768,-4.546,3.9648,1.0,1.3282,-0.19986,0.087931,0.0,-0.68328,0.0,0.00042367,182.72,0.00089682,-4.385,0.00011097,653.0,0.59318,0.0,5.1918e-05,111.0,-8.7544e-08,122180.0,0.0035535,5.0,0.00091029,1.0,4.9954e-09,659.99,0.8821,20321.0,3.5357,1165.0,0.0,122180.0,-3.49,325.0,122180.0,1.0,97.0,0.34453,-0.20094,1.0,564.85,1.1,0.0,1.0,704.0,0.0,-4.546,2.0,325.0,7.6103e-05,0.0,2.0,0.4,5.6853,0.0,2.0,0.0,-4.9101,0.0,1.0,2.4749,0.0,0.0,2.0,-2.4749,0.0,0.23188,27.264,159.0,0.0,2.6065,45.5,718.04,-0.0010768,2.9685e-17,6.5312,1165.0,0.68328,0.33099,-17.699,407.0,-1.3282,1.0,-7.3125,0.0,0.99982,1.0,-38.25,0.0,1.9804,1.0,0.0,0.0,0.26494,2.5e-06,1.0,0.0,0.0,168960.0,0.41133,256.0,0.0,122180.0,
4,0.0014157,224770.0,0.0,-0.18057,0.51211,116500.0,0.0,0.0,0.1173,0.0625,0.0013979,-5.2153,3.8388,1.0,2.6187,-0.17917,0.092013,0.0,-1.5587,0.0,0.00049067,159.19,0.0011079,-4.4327,0.00011915,521.0,2.1938,0.0,4.4317e-05,111.0,-8.9116e-08,116500.0,0.0037446,5.0,0.0012274,1.0,5.2391e-09,614.26,3.4289,19374.0,4.0569,1033.0,0.0,116500.0,-4.0048,279.0,116500.0,1.0,121.0,0.49062,-0.18057,1.0,529.31,1.1,0.0,1.0,683.0,0.0,-5.2153,2.0,279.0,-0.00016347,0.0,2.0,0.4,8.572,0.0,2.0,-3.0698e-12,-5.6597,0.0,2.0,2.4749,0.0,0.0,3.0,-2.4748,0.0,0.20841,27.564,135.0,0.0,2.4727,47.0,690.41,-0.0013979,6.9449e-16,6.5938,1033.0,1.5587,0.34116,-17.962,554.0,-2.6187,1.0,-7.0625,0.0,0.99971,1.0,-38.0,0.0,4.7525,1.0,0.0,0.0,0.072895,3.75e-06,1.0,0.0,0.0,157250.0,0.38555,256.0,0.0,116500.0,
5,0.00071179,228350.0,0.0,-0.18608,0.51715,122320.0,0.0,0.0,0.10962,0.054688,0.0020528,-15.834,3.9207,1.0,15.106,-0.18404,0.10627,0.0,-1.1013,0.0,0.00035563,160.47,0.0017593,-4.8707,9.6085e-05,381.0,14.106,1.2027e-05,4.4207e-05,106.0,-8.9698e-08,122310.0,0.003182,5.0,0.004399,1.0,-8.2335e-09,638.26,114.09,20343.0,3.3862,893.0,0.0,122310.0,-3.3464,335.0,122310.0,1.0,103.0,0.41133,-0.18608,1.0,574.08,1.1,0.0,1.0,874.0,0.0,-15.834,2.0,335.0,-0.00019027,0.0,2.0,0.4,5.4198,0.0,2.0,9.7461e-13,-5.1152,0.0,3.0,2.4749,0.0,0.0,4.0,-2.4749,0.0,0.21082,27.563,153.0,0.0,2.4317,48.25,681.47,-0.0020528,1.6002e-17,6.625,893.0,1.1013,0.31059,-18.053,503.0,-15.106,0.99999,-7.4375,0.0,0.99971,1.0,-38.25,0.0,3.0081,0.0,0.0,0.0,2.7517e-07,5e-06,1.0,0.0,0.0,163400.0,0.44727,256.0,0.0,122320.0,
6,0.00079344,243200.0,0.0,-0.20284,0.49284,122740.0,0.0,0.0,0.12651,0.0625,0.0021661,-4.6846,3.8746,1.0,2.5173,-0.20067,0.087431,0.0,-1.1849,0.0,0.00035526,162.75,0.0018958,-4.6046,9.1168e-05,607.0,1.598,0.0,4.3325e-05,105.0,-8.9407e-08,122740.0,0.0029966,5.0,0.0019639,1.0,-1.498e-08,642.2,3.1684,20414.0,3.5365,1119.0,0.0,122740.0,-3.5068,371.0,122740.0,1.0,93.0,0.38555,-0.20284,1.0,566.34,1.1,0.0,1.0,781.0,0.0,-4.6846,2.0,371.0,-0.00031008,0.0,2.0,0.4,5.1585,0.0,2.0,-4.8562e-12,-5.304,0.0,4.0,2.4749,0.0,0.0,5.0,-2.4748,0.0,0.23211,27.245,163.0,0.0,2.5253,46.0,685.48,-0.0021661,4.4364e-17,6.625,1119.0,1.1849,0.33735,-17.894,553.0,-2.5173,1.0,-7.4375,0.0,0.99973,1.0,-38.25,-0.0,3.2704,1.0,0.0,-0.0,0.080676,5e-06,1.0,0.0,0.0,164400.0,0.50273,256.0,0.0,122740.0,
7,0.00062351,197890.0,0.0,-0.19025,0.51741,120660.0,0.0,0.0,0.10262,0.058594,0.0031328,-5.093,3.8982,1.0,2.2459,-0.18712,0.089871,0.0,-1.2043,0.0,0.0003295,153.38,0.0029267,-4.7563,9.7807e-05,325.0,1.3517,0.0,4.3757e-05,106.0,-8.9407e-08,120660.0,0.0027596,5.0,0.0030886,1.0,-5.0585e-10,624.7,2.5219,20067.0,3.313,837.0,0.0,120660.0,-3.2671,283.0,120660.0,1.0,109.0,0.44727,-0.19025,1.0,558.94,1.1,0.0,1.0,837.0,0.0,-5.093,2.0,283.0,-0.00018898,0.0,2.0,0.4,7.0278,0.0,2.0,1.1856e-11,-6.9149,0.0,5.0,2.4749,0.0,0.0,6.0,-2.4748,0.0,0.21613,27.623,147.0,0.0,2.5228,46.5,673.46,-0.0031328,1.8755e-17,6.5938,837.0,1.2043,0.32457,-18.015,563.0,-2.2459,1.0,-7.2188,0.0,0.99979,1.0,-38.5,0.0,3.3344,1.0,0.0,-0.0,0.10584,5e-06,1.0,0.0,0.0,159920.0,0.51836,256.0,0.0,120660.0,
8,0.00092141,182140.0,0.0,-0.18615,0.4955,113820.0,0.0,0.0,0.095926,0.046875,0.0056351,-5.6715,3.7956,1.0,4.1669,-0.18052,0.087416,0.0,-1.506,0.0,0.00031403,144.19,0.0045384,-4.4073,8.7733e-05,212.0,3.1824,0.0,4.0882e-05,103.0,-8.7282e-08,113820.0,0.0030737,5.0,0.0050625,1.0,-1.3407e-08,588.78,8.6814,18927.0,3.4026,724.0,0.0,113820.0,-3.3522,331.0,113820.0,1.0,140.0,0.50273,-0.18615,1.0,530.33,1.1,0.0,1.0,699.0,0.0,-5.6715,2.0,331.0,-6.6547e-05,0.0,2.0,0.4,9.4744,0.0,2.0,-1.2569e-11,-7.8992,0.0,6.0,2.4749,0.0,0.0,7.0,-2.4749,0.0,0.21155,27.659,116.0,0.0,2.4144,46.0,659.33,-0.0056351,9.2348e-17,6.5938,724.0,1.506,0.32191,-18.0,429.0,-4.1669,1.0,-7.4375,0.0,0.9989,1.0,-38.5,0.0,4.5086,1.0,0.0,-0.0,0.015501,5e-06,1.0,0.0,0.0,150730.0,0.50352,256.0,0.0,113820.0,
9,0.00076672,209790.0,0.0,-0.1748,0.49021,121160.0,0.0,0.0,0.11136,0.0625,0.0043476,-5.1036,3.8972,1.0,3.0891,-0.17047,0.087418,0.0,-1.5887,0.0,0.0003579,160.06,0.0038138,-4.5979,9.6595e-05,367.0,2.3085,1.576e-05,4.3156e-05,114.0,-8.9407e-08,121160.0,0.0027191,5.0,0.0041146,1.0,-1.1586e-08,633.36,4.7713,20151.0,3.4088,879.0,0.0,121160.0,-3.3556,392.0,121160.0,1.0,126.0,0.51836,-0.1748,1.0,593.69,1.1,0.0,1.0,879.0,0.0,-5.1036,2.0,392.0,-0.0003027,0.0,2.0,0.4,8.1598,0.0,2.0,-3.9354e-12,-6.5001,0.0,7.0,2.4749,0.0,0.0,8.0,-2.4748,0.0,0.19706,27.713,130.0,0.0,2.5645,44.75,671.82,-0.0043476,1.4531e-16,6.5938,879.0,1.5887,0.32194,-17.946,626.0,-3.0891,0.99999,-7.4062,0.0,0.99947,1.0,-37.5,-0.0,4.8971,0.0,0.0,-0.0,0.045542,5e-06,1.0,0.0,0.0,162140.0,0.36016,256.0,0.0,121160.0,
10,0.00068376,230140.0,0.0,-0.17738,0.48861,115230.0,0.0,0.0,0.13684,0.058594,0.0031674,-6.2519,3.7802,1.0,4.439,-0.17423,0.091023,0.0,-1.2929,0.0,0.00034647,169.94,0.0029546,-4.32,0.0001006,532.0,3.4509,1.6712e-05,4.688e-05,106.0,-8.9029e-08,115230.0,0.0034036,5.0,0.0033029,1.0,-4.2375e-09,620.05,9.8526,19162.0,3.2581,1044.0,0.0,115230.0,-3.2055,329.0,115230.0,1.0,135.0,0.50352,-0.17738,1.0,548.09,1.1,0.0,1.0,1044.0,0.0,-6.2519,2.0,329.0,-0.00036192,0.0,2.0,0.4,6.7846,0.0,2.0,1.5518e-12,-11.516,0.0,8.0,2.4749,0.0,0.0,9.0,-2.4749,0.0,0.20205,27.549,121.0,0.0,2.3977,45.75,700.34,-0.0031674,2.2627e-16,6.5938,1044.0,1.2929,0.35696,-17.888,618.0,-4.439,0.99999,-7.25,0.0,0.99979,1.0,-37.75,0.0,3.6435,0.0,0.0,0.0,0.011807,5e-06,1.0,0.0,0.0,158730.0,0.54805,256.0,0.0,115230.0,
